Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LB,LB.1,LB.2,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,EloHome,EloAway
D2,22/10/04,Essen,FC Koln,2,2,D,1,0,H,3.2,3.2,2.0,3.3,3.25,2.0,3.25,3.25,2.05,3.1,3.0,2.1,3.2,3.2,2.0,3.6,3.3,1.95,3.25,3.05,2.05,1.55,2.25,1.63,2.05,0.5,,,,,,,1454.69,1537.21
D2,22/10/04,Greuther Furth,Ein Frankfurt,2,1,H,1,1,D,2.0,3.2,3.2,2.1,3.2,3.1,1.9,3.35,3.65,2.1,3.0,3.1,2.0,3.0,3.4,1.95,3.3,3.6,2.0,3.15,3.25,1.75,1.95,1.9,1.75,-0.5,,,,,,,1587.22,1535.95
D2,22/10/04,Munich 1860,Karlsruhe,1,1,D,0,1,A,1.61,3.5,4.5,1.65,3.6,4.4,1.65,3.6,4.6,1.65,3.3,4.4,1.67,3.25,4.5,1.62,3.75,5.0,1.65,3.3,4.6,1.6,2.15,1.65,2.02,-0.5,,,,,,,1552.24,1455.23
D2,22/10/04,Unterhaching,Cottbus,2,1,H,0,1,A,2.0,3.2,3.2,2.1,3.2,3.1,2.0,3.2,3.5,1.9,3.1,3.5,2.0,3.2,3.2,2.0,3.3,3.4,2.05,3.1,3.2,1.71,2.0,1.95,1.69,-0.5,,,,,,,1470.23,1523.82
D2,24/10/04,Aachen,Saarbrucken,3,1,H,2,0,H,1.61,3.5,4.5,1.65,3.6,4.4,1.65,3.65,4.55,1.6,3.4,4.6,,,,1.62,3.75,5.0,1.65,3.3,4.6,1.65,2.05,1.65,2.03,-0.5,,,,,,,1553.55,1487.87
D2,24/10/04,Ein Trier,Erfurt,2,0,H,0,0,D,1.8,3.4,3.6,1.75,3.4,4.1,1.8,3.35,4.05,1.8,3.1,3.8,,,,1.75,3.5,4.2,1.8,3.2,3.9,1.85,1.85,1.8,1.83,-0.5,,,,,,,1503.89,1458.42
D2,24/10/04,Erzgebirge Aue,Duisburg,1,3,A,0,0,D,2.25,3.25,2.75,2.35,3.25,2.65,2.25,3.25,2.85,2.2,3.0,2.9,,,,2.3,3.2,2.9,2.35,3.1,2.65,1.75,1.95,2.25,1.52,-0.5,,,,,,,1519.81,1529.98
D2,24/10/04,Oberhausen,Dresden,2,0,H,1,0,H,1.9,3.25,3.5,1.85,3.3,3.7,1.9,3.3,3.7,1.9,3.1,3.5,,,,1.8,3.4,4.0,1.95,3.15,3.4,1.65,2.05,1.9,1.74,-0.5,,,,,,,1458.2,1453.88
D2,26/10/04,Burghausen,Unterhaching,2,0,H,1,0,H,2.0,3.2,3.2,1.95,3.25,3.4,2.05,3.1,3.45,2.1,3.0,3.1,,,,2.0,3.3,3.4,2.05,3.1,3.2,1.65,2.05,2.05,1.63,-0.5,,,,,,,1519.81,1481.07
D2,26/10/04,Ein Frankfurt,Ahlen,2,3,A,2,2,D,1.72,3.4,4.0,1.6,3.6,4.8,1.7,3.45,4.5,1.65,3.3,4.4,,,,1.67,3.6,4.5,1.65,3.25,4.8,1.65,2.05,1.7,1.95,-0.5,,,,,,,1528.57,1497.43
D2,26/10/04,FC Koln,Munich 1860,2,0,H,2,0,H,1.8,3.2,4.0,1.65,3.5,4.5,1.85,3.3,3.9,1.85,3.1,3.6,,,,1.8,3.4,4.0,1.8,3.2,3.9,1.65,2.05,1.85,1.79,-0.5,,,,,,,1537.84,1545.83
