Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
F1,11/09/04,Toulouse,Ajaccio,3,1,H,1,1,D,1.667,3.4,4.5,1.7,3.3,4.5,1.7,3.3,4.55,1.65,3.2,4.6,1.727,3.2,4.333,1.72,3.25,4.33,1.66,3.3,4.5,2.0,1.65,1.9,1.9,-0.75,,,,,,,,,,,,,,,,1677.26,1595.48
F1,12/09/04,Sochaux,Marseille,2,0,H,1,0,H,2.3,3.0,2.875,2.5,3.05,2.6,2.4,3.0,2.75,2.4,2.9,2.7,2.375,3.2,2.6,2.5,3.0,2.62,2.4,3.1,2.6,1.95,1.71,1.8,2.0,0.0,,,,,,,,,,,,,,,,1733.57,1702.11
F1,18/09/04,Ajaccio,St Etienne,1,1,D,0,1,A,2.0,3.25,3.25,2.25,3.05,2.95,2.05,3.1,3.3,2.1,2.9,3.2,2.0,3.0,3.4,2.2,3.0,3.1,2.0,3.0,3.4,2.15,1.57,1.85,1.95,-0.25,,,,,,,,,,,,,,,,1588.98,1646.7
F1,18/09/04,Bordeaux,Rennes,0,0,D,0,0,D,1.8,3.25,4.0,1.7,3.3,4.5,1.75,3.15,4.5,1.7,3.2,4.2,1.73,3.2,4.33,1.8,3.25,4.0,1.66,3.2,4.8,1.95,1.71,1.95,1.85,-0.75,,,,,,,,,,,,,,,,1714.24,1695.51
F1,18/09/04,Lyon,Bastia,0,0,D,0,0,D,1.44,3.75,6.5,1.4,3.9,7.0,1.5,3.75,5.6,1.5,3.5,5.4,1.5,3.4,6.0,1.53,3.4,6.0,1.4,3.75,7.0,1.9,1.75,1.95,1.85,-1.0,,,,,,,,,,,,,,,,1874.64,1651.04
F1,18/09/04,Marseille,Toulouse,1,0,H,1,0,H,1.72,3.25,4.33,1.7,3.3,4.5,1.7,3.2,4.75,1.7,3.2,4.2,1.73,3.2,4.33,1.73,3.25,4.33,1.66,3.2,4.8,1.9,1.75,1.7,1.91,-0.5,,,,,,,,,,,,,,,,1694.13,1683.76
F1,18/09/04,Nantes,Istres,1,0,H,0,0,D,1.72,3.25,4.33,1.7,3.3,4.5,1.7,3.2,4.75,1.65,3.2,4.6,1.67,3.2,5.0,1.67,3.25,4.75,1.61,3.3,5.0,2.1,1.6,1.95,1.85,-0.75,,,,,,,,,,,,,,,,1710.74,1590.8
F1,18/09/04,Strasbourg,Lens,2,2,D,1,1,D,2.75,3.0,2.37,2.5,3.05,2.6,2.75,3.1,2.35,2.5,2.9,2.6,2.62,2.88,2.5,2.6,3.0,2.5,2.62,2.9,2.5,2.0,1.65,1.95,1.85,0.0,,,,,,,,,,,,,,,,1614.12,1709.1
F1,19/09/04,Auxerre,Metz,4,0,H,3,0,H,1.83,3.25,3.75,1.85,3.1,4.0,1.85,3.2,3.85,1.8,3.1,3.8,1.8,3.0,4.33,1.91,3.1,3.75,1.83,3.0,4.0,2.1,1.6,1.85,1.75,-0.5,,,,,,,,,,,,,,,,1773.58,1686.14
F1,19/09/04,Lille,Caen,2,0,H,1,0,H,1.83,3.25,3.75,1.8,3.15,4.15,1.8,3.1,4.25,1.9,3.0,3.6,1.8,3.0,4.33,1.83,3.25,3.75,1.83,3.0,4.0,2.1,1.6,1.8,1.79,-0.5,,,,,,,,,,,,,,,,1684.3,1693.16
F1,19/09/04,Nice,Sochaux,2,1,H,1,1,D,2.37,3.2,2.62,2.4,3.0,2.75,2.35,3.1,2.75,2.3,2.9,2.8,2.25,3.0,2.88,2.38,3.0,2.8,2.37,3.0,2.7,2.15,1.57,1.75,2.1,0.0,,,,,,,,,,,,,,,,1647.78,1741.55
F1,19/09/04,Paris SG,Monaco,0,1,A,0,0,D,2.37,3.2,2.62,2.35,3.15,2.7,2.45,3.15,2.6,2.4,2.9,2.7,2.38,3.2,2.6,2.38,3.0,2.8,2.37,3.0,2.7,1.9,1.75,1.8,2.0,0.0,,,,,,,,,,,,,,,,1780.25,1807.86
F1,21/09/04,Toulouse,Lyon,0,2,A,0,0,D,2.25,2.75,3.2,,,,2.35,2.6,3.2,2.3,2.6,3.1,2.38,2.88,2.8,2.4,2.7,3.0,2.3,2.7,3.1,2.1,1.6,1.8,2.0,0.25,,,,,,,,,,,,,,,,1675.1,1865.5
F1,22/09/04,Bastia,Bordeaux,1,4,A,1,3,A,2.25,3.0,3.0,2.1,3.1,3.2,2.25,3.0,3.0,2.3,2.9,2.8,2.25,3.2,2.75,2.25,3.0,3.0,2.37,3.0,2.7,2.2,1.55,2.0,1.8,-0.25,,,,,,,,,,,,,,,,1660.18,1710.13
