Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
SP2,03/11/02,Leganes,Salamanca,0,2,A,0,1,A,2.1,2.8,3.4,2.15,2.9,3.1,2.1,2.8,3.0,2.1,2.875,3.2,2.2,2.9,3.0,,,1467.7,1446.6
SP2,03/11/02,Numancia,Tenerife,1,0,H,0,0,D,2.4,2.75,2.9,2.3,2.8,2.9,2.3,2.7,2.7,2.4,3.0,2.625,2.55,2.85,2.55,,,1439.83,1518.33
SP2,03/11/02,Sp Gijon,Cordoba,0,0,D,0,0,D,2.1,2.8,3.4,2.15,2.9,3.1,2.1,2.7,3.1,2.1,2.9,3.2,2.25,2.9,2.9,,,1502.88,1432.84
SP2,09/11/02,Cordoba,Leganes,1,0,H,0,0,D,2.1,2.8,3.4,2.05,2.85,3.35,1.9,2.8,3.4,2.1,2.8,3.4,2.1,2.85,3.2,2.05,1.6,1438.51,1451.01
SP2,09/11/02,Tenerife,Elche,0,0,D,0,0,D,2.0,2.87,3.6,1.9,2.9,3.8,1.9,2.8,3.4,2.0,2.875,3.6,2.1,2.85,3.2,2.05,1.6,1506.6,1524.39
SP2,10/11/02,Compostela,Badajoz,3,0,H,0,0,D,2.2,2.8,3.2,2.2,2.8,3.1,2.2,2.7,2.9,2.25,2.8,3.1,,,,2.15,1.55,1424.82,1469.45
SP2,10/11/02,Ferrol,Numancia,1,0,H,0,0,D,2.0,2.87,3.6,2.05,2.85,3.35,2.0,2.7,3.3,2.1,2.8,3.4,2.1,2.85,3.2,2.05,1.6,1458.64,1451.56
SP2,10/11/02,Getafe,Eibar,4,2,H,1,1,D,2.1,2.8,3.4,2.0,2.85,3.5,2.0,2.7,3.3,2.1,2.8,3.4,2.25,2.8,3.0,2.15,1.55,1432.79,1494.44
SP2,10/11/02,Levante,Sp Gijon,2,1,H,1,0,H,1.61,3.25,5.0,1.6,3.2,5.05,1.6,2.9,4.8,1.6,3.3,5.0,1.65,3.25,4.5,1.9,1.7,1525.28,1497.21
SP2,10/11/02,Murcia,Xerez,1,1,D,0,1,A,2.25,2.8,3.1,2.3,2.8,2.9,2.2,2.7,2.9,2.3,2.8,3.0,2.3,2.8,2.9,2.05,1.6,1513.32,1537.91
SP2,10/11/02,Oviedo,Terrassa,2,2,D,1,0,H,2.6,2.7,2.7,2.45,2.8,2.7,2.5,2.6,2.6,2.5,2.875,2.6,2.55,2.8,2.55,2.05,1.6,1437.5,1521.02
SP2,10/11/02,Poli Ejido,Las Palmas,0,0,D,0,0,D,2.1,2.8,3.4,2.2,2.8,3.1,2.1,2.7,3.1,2.2,2.8,3.2,2.1,2.85,3.2,2.05,1.6,1525.23,1524.34
SP2,10/11/02,Salamanca,Albacete,0,1,A,0,0,D,2.4,2.75,2.9,2.35,2.8,2.85,2.3,2.7,2.7,2.4,2.8,2.875,2.3,2.8,2.9,2.15,1.55,1463.29,1505.74
SP2,10/11/02,Zaragoza,Almeria,1,0,H,0,0,D,1.61,3.25,5.0,1.6,3.2,5.05,1.6,2.9,4.8,1.615,3.25,5.0,1.6,3.2,5.0,1.9,1.7,1535.42,1455.48
SP2,16/11/02,Albacete,Cordoba,0,0,D,0,0,D,1.727,3.1,4.5,1.7,3.1,4.6,1.75,2.8,4.0,1.75,3.1,4.333,1.8,3.0,4.0,,,1520.29,1447.93
SP2,16/11/02,Terrassa,Getafe,1,1,D,1,1,D,1.909,3.0,3.75,1.85,3.0,4.0,1.85,2.7,3.7,1.85,3.0,4.0,1.95,2.95,3.5,,,1521.61,1443.92
SP2,17/11/02,Badajoz,Oviedo,0,1,A,0,0,D,1.8,3.1,4.0,1.72,3.25,4.25,1.7,2.8,4.2,1.727,3.1,4.5,1.75,3.1,4.1,,,1458.93,1436.91
SP2,17/11/02,Eibar,Zaragoza,0,0,D,0,0,D,2.4,2.875,2.75,2.45,2.75,2.8,2.5,2.7,2.5,2.5,2.9,2.6,2.65,2.9,2.4,,,1483.31,1541.97
