Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,EloHome,EloAway
D1,19/10/02,Munich 1860,Schalke 04,3.0,0.0,H,0.0,0.0,D,2.5,3.1,2.5,2.61,3.1,2.55,2.4,3.0,2.6,2.38,3.2,2.6,2.5,3.1,2.6,2.5,3.1,2.6,2.37,3.1,2.62,1.68,2.0,,,1705.6,1789.98
D1,20/10/02,Bochum,Wolfsburg,4.0,2.0,H,1.0,2.0,A,2.3,3.2,2.625,2.45,3.15,2.77,2.2,3.0,2.9,2.38,3.2,2.6,2.38,3.2,2.62,2.375,3.2,2.7,2.3,3.25,2.62,1.75,1.94,,,1680.92,1708.53
D1,20/10/02,Nurnberg,Stuttgart,1.0,2.0,A,1.0,0.0,H,2.25,3.2,2.75,2.37,3.15,2.8,2.3,3.0,2.7,2.38,3.2,2.6,2.25,3.2,2.8,2.3,3.2,2.8,2.3,3.1,2.75,1.75,1.95,,,1617.48,1714.82
D1,26/10/02,Bayern Munich,Hannover,3.0,3.0,D,1.0,2.0,A,1.167,5.5,11.0,1.23,5.5,11.0,1.25,4.5,9.0,1.2,5.0,11.0,1.2,5.5,10.0,1.2,5.5,10.0,1.2,5.0,11.0,1.47,2.53,,,1873.16,1667.0
D1,26/10/02,Bielefeld,Hamburg,2.0,1.0,H,1.0,0.0,H,2.1,3.2,3.0,2.15,3.3,3.3,2.1,3.0,3.1,2.1,3.2,3.0,2.0,3.2,3.3,2.0,3.2,3.3,2.1,3.2,3.0,1.7,1.9,,,1680.27,1667.67
D1,26/10/02,Hertha,Leverkusen,1.0,1.0,D,1.0,0.0,H,2.0,3.2,3.2,2.02,3.25,3.32,2.0,3.1,3.2,1.91,3.25,3.4,2.0,3.25,3.25,2.0,3.25,3.25,2.1,3.1,3.1,1.7,2.0,,,1785.57,1772.31
D1,26/10/02,M'gladbach,Munich 1860,0.0,1.0,A,0.0,0.0,D,2.1,3.2,3.0,2.12,3.25,3.2,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.2,3.1,2.1,3.2,3.1,2.1,3.1,3.1,1.7,2.1,,,1666.51,1717.54
D1,26/10/02,Schalke 04,Nurnberg,1.0,1.0,D,0.0,1.0,A,1.4,3.75,7.0,1.44,3.9,7.45,1.35,4.0,7.0,1.4,3.75,7.0,1.4,3.75,7.5,1.4,3.75,7.5,1.4,3.6,7.5,1.6,2.1,,,1778.04,1604.88
D1,26/10/02,Stuttgart,Cottbus,0.0,0.0,D,0.0,0.0,D,1.444,3.6,6.5,1.44,3.8,7.5,1.4,3.9,6.0,1.44,3.5,7.0,1.4,3.75,7.5,1.4,3.75,7.5,1.4,3.75,7.0,1.6,2.1,,,1727.42,1566.55
D1,26/10/02,Werder Bremen,Dortmund,1.0,4.0,A,1.0,1.0,D,2.25,3.2,2.75,2.4,3.25,3.0,2.4,3.0,2.6,2.4,3.25,2.5,2.38,3.1,2.7,2.375,3.1,2.7,2.3,3.1,2.75,1.7,2.0,,,1762.96,1834.33
D1,27/10/02,Wolfsburg,Hansa Rostock,1.0,0.0,H,1.0,0.0,H,1.8,3.3,3.75,1.83,3.3,4.2,1.8,3.1,3.8,1.83,3.2,3.75,1.8,3.25,4.0,1.8,3.25,4.0,1.72,3.25,4.2,1.7,1.97,,,1698.6,1631.17
D1,02/11/02,Cottbus,Schalke 04,0.0,1.0,A,0.0,0.0,D,3.2,3.2,2.0,3.35,3.3,2.01,3.1,3.0,2.1,3.2,3.2,2.0,3.25,3.25,2.0,3.4,3.25,2.0,3.2,3.2,2.0,1.8,1.8,,,1574.5,1769.84
