Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
E2,26/08/02,Cardiff,Luton,0,0,D,0,0,D,P Danson,8.0,7.0,7.0,3.0,17.0,17.0,6.0,4.0,1,3,0,0,1.4,3.75,7.5,1.5,3.7,5.5,1.45,3.6,4.8,1.4,3.75,7.0,,,,1.444,3.75,6.5,,,,1470.63,1341.59
E2,26/08/02,Peterboro,Colchester,0,1,A,0,0,D,P Armstrong,13.0,5.0,8.0,1.0,16.0,14.0,5.0,4.0,2,3,0,1,,,,2.07,3.25,3.1,2.0,3.0,2.9,2.1,3.2,3.0,,,,2.0,3.25,3.25,,,,1287.22,1299.21
E2,26/08/02,Plymouth,Bristol City,2,0,H,0,0,D,W Jordan,13.0,7.0,3.0,3.0,12.0,17.0,6.0,11.0,2,1,0,0,,,,2.05,3.25,3.15,2.0,3.0,2.9,2.0,3.4,3.0,,,,2.1,3.25,3.0,,,,1420.76,1368.02
E2,26/08/02,Stockport,Mansfield,2,0,H,1,0,H,R Pearson,12.0,16.0,11.0,15.0,9.0,13.0,3.0,10.0,3,0,0,0,,,,1.88,3.3,3.6,1.8,3.1,3.4,1.833,3.4,3.5,,,,1.909,3.25,3.5,,,,1277.14,1267.67
E2,26/08/02,Tranmere,Huddersfield,2,1,H,0,1,A,G Salisbury,13.0,17.0,10.0,11.0,8.0,10.0,10.0,6.0,2,2,0,0,,,,2.0,3.25,3.2,1.9,3.1,3.0,2.2,3.25,2.75,,,,2.0,3.25,3.25,,,,1334.49,1418.67
E2,26/08/02,Wigan,Port Vale,0,1,A,0,1,A,G Frankland,18.0,6.0,10.0,5.0,7.0,16.0,12.0,1.0,1,4,0,0,,,,1.41,3.8,7.0,1.4,3.7,5.3,1.4,3.75,7.0,,,,1.364,4.0,7.5,,,,1435.55,1274.81
E2,26/08/02,Wycombe,QPR,4,1,H,1,1,D,R Styles,10.0,12.0,6.0,4.0,18.0,17.0,4.0,8.0,1,1,2,2,,,,2.52,3.2,2.5,2.35,3.0,2.35,2.5,3.2,2.5,,,,2.5,3.2,2.5,,,,1320.18,1393.08
E2,27/08/02,Chesterfield,Northampton,4,0,H,3,0,H,S W Mathieson,12.0,14.0,9.0,13.0,14.0,7.0,3.0,8.0,1,0,0,0,2.1,3.25,3.0,2.2,3.25,2.8,2.2,3.0,2.6,2.4,3.25,2.5,2.2,3.25,2.8,2.1,3.25,3.0,2.2,3.2,2.8,1298.64,1301.04
E2,27/08/02,Crewe,Cheltenham,1,0,H,1,0,H,D Gallagher,13.0,10.0,5.0,5.0,10.0,9.0,4.0,2.0,0,0,0,0,1.62,3.4,5.0,1.65,3.4,4.5,1.55,3.4,4.3,1.57,3.5,5.0,1.57,3.4,5.5,1.53,3.4,5.5,1.58,3.42,4.97,1364.28,1292.61
E2,31/08/02,Bristol City,Tranmere,2,0,H,0,0,D,M Warren,10.0,7.0,7.0,4.0,16.0,16.0,8.0,4.0,1,2,0,0,1.909,3.25,3.5,1.9,3.3,3.7,1.9,3.1,3.0,1.909,3.25,3.4,1.91,3.25,3.0,1.95,3.25,3.4,1.9,3.25,3.4,1360.69,1346.42
E2,31/08/02,Cheltenham,Cardiff,1,1,D,1,1,D,G Barber,3.0,17.0,3.0,9.0,12.0,11.0,2.0,9.0,1,1,0,0,3.5,3.25,1.909,3.1,3.3,2.1,3.0,3.1,1.9,3.75,3.25,1.8,3.5,3.25,1.91,3.5,3.25,1.909,3.4,3.25,1.9,1285.83,1463.41
E2,31/08/02,Colchester,Wigan,1,0,H,1,0,H,K Hill,8.0,17.0,3.0,6.0,11.0,18.0,3.0,3.0,0,2,0,1,3.25,3.25,2.0,3.0,3.4,2.1,2.8,3.0,2.1,3.0,3.2,2.1,3.0,3.25,2.1,3.0,3.25,2.1,3.0,3.2,2.1,1314.81,1415.11
E2,31/08/02,Huddersfield,Blackpool,0,0,D,0,0,D,R Pearson,5.0,3.0,1.0,1.0,11.0,13.0,8.0,4.0,1,1,0,0,2.1,3.25,3.0,2.1,3.4,3.05,2.0,3.0,2.9,1.909,3.25,3.4,2.1,3.0,3.25,2.1,3.25,3.0,2.0,3.2,3.2,1406.74,1318.0
E2,31/08/02,Luton,Chesterfield,3,0,H,1,0,H,P Taylor,13.0,5.0,6.0,5.0,16.0,14.0,10.0,2.0,0,3,0,0,2.1,3.25,3.0,2.0,3.4,3.25,2.0,3.0,2.9,2.25,3.4,2.625,2.0,3.25,3.25,2.05,3.2,3.2,2.0,3.4,3.0,1348.81,1307.72
E2,31/08/02,Mansfield,Crewe,0,5,A,0,3,A,C Webster,8.0,13.0,1.0,8.0,12.0,14.0,6.0,7.0,1,1,0,0,2.5,3.2,2.5,2.47,3.3,2.52,2.35,3.0,2.35,2.4,3.25,2.5,2.5,3.2,2.5,2.75,3.2,2.25,2.37,3.1,2.62,1258.98,1371.06
E2,31/08/02,Northampton,Barnsley,1,0,H,0,0,D,A Hall,7.0,10.0,4.0,6.0,15.0,19.0,2.0,7.0,1,3,1,0,2.6,3.2,2.4,2.6,3.3,2.4,2.4,3.0,2.3,2.4,3.25,2.5,2.63,3.2,2.38,2.625,3.2,2.375,2.62,3.25,2.3,1291.96,1385.9
E2,31/08/02,Notts County,Brentford,2,2,D,1,0,H,M Pike,13.0,10.0,9.0,4.0,10.0,9.0,7.0,8.0,2,0,0,0,2.4,3.2,2.6,2.47,3.3,2.52,2.4,3.0,2.3,2.5,3.25,2.4,2.63,3.2,2.38,2.6,3.2,2.4,2.5,3.1,2.5,1326.88,1461.91
E2,31/08/02,Oldham,Wycombe,0,2,A,0,1,A,A Kaye,13.0,10.0,3.0,6.0,15.0,20.0,3.0,6.0,1,0,0,0,1.727,3.25,4.333,1.8,3.3,4.15,1.7,3.2,3.7,1.667,3.25,4.5,1.8,3.2,4.0,1.8,3.25,4.0,1.72,3.25,4.2,1398.13,1331.71
E2,31/08/02,Port Vale,Peterboro,1,0,H,0,0,D,G Salisbury,12.0,12.0,6.0,5.0,10.0,13.0,5.0,4.0,2,2,0,0,1.909,3.25,3.5,1.95,3.3,3.5,1.9,3.1,3.0,1.909,3.25,3.4,1.83,3.25,3.75,1.85,3.4,3.6,1.83,3.4,3.5,1295.25,1271.62
E2,31/08/02,QPR,Plymouth,2,2,D,0,1,A,L Cable,13.0,8.0,9.0,4.0,9.0,15.0,9.0,1.0,1,0,0,0,2.1,3.25,3.0,2.1,3.3,3.1,2.0,3.0,2.9,2.0,3.4,3.0,2.2,3.2,2.88,2.1,3.2,3.1,2.1,3.2,3.0,1381.55,1428.09
E2,31/08/02,Swindon,Stockport,0,1,A,0,0,D,J Ross,16.0,5.0,9.0,3.0,9.0,16.0,13.0,3.0,0,4,0,0,2.1,3.25,3.0,2.1,3.3,3.1,2.1,3.0,2.8,2.2,3.25,2.75,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.2,3.0,1339.56,1285.83
E2,06/09/02,Bristol City,Northampton,3,0,H,1,0,H,P Rejer,18.0,8.0,12.0,2.0,7.0,11.0,7.0,3.0,0,0,0,1,1.667,3.4,4.5,1.67,3.5,5.0,1.6,3.3,4.0,1.615,3.25,5.0,1.62,3.4,5.0,1.615,3.4,5.0,1.61,3.3,5.0,1369.22,1304.24
E2,07/09/02,Blackpool,Tranmere,3,0,H,0,0,D,J P Robinson,13.0,4.0,6.0,2.0,17.0,20.0,9.0,5.0,2,4,0,0,2.1,3.25,3.0,2.25,3.2,3.0,2.1,3.0,2.8,2.1,3.4,2.875,2.0,3.25,3.25,2.0,3.25,3.25,2.0,3.2,3.2,1324.19,1337.89
E2,07/09/02,Brentford,Luton,0,0,D,0,0,D,D Pugh,6.0,5.0,1.0,1.0,15.0,12.0,15.0,6.0,1,2,0,0,1.667,3.4,4.5,1.7,3.5,4.15,1.65,3.2,3.9,1.667,3.25,4.5,1.67,3.4,4.5,1.667,3.4,4.5,1.72,3.25,4.2,1460.65,1356.5
E2,07/09/02,Colchester,Cheltenham,1,1,D,0,1,A,B Curson,3.0,5.0,0.0,3.0,10.0,8.0,3.0,5.0,0,3,0,0,1.727,3.25,4.333,1.8,3.4,3.75,1.75,3.2,3.5,1.727,3.2,4.333,1.67,3.4,4.5,1.667,3.4,4.5,1.72,3.2,4.33,1327.32,1288.58
E2,07/09/02,Crewe,Chesterfield,0,0,D,0,0,D,P Joslin,15.0,9.0,10.0,4.0,7.0,9.0,4.0,3.0,0,0,0,0,1.571,3.4,5.5,1.63,3.45,5.05,1.55,3.4,4.3,1.571,3.5,5.0,1.53,3.6,5.5,1.533,3.5,5.5,1.57,3.5,5.0,1383.13,1300.03
E2,07/09/02,Huddersfield,Barnsley,1,0,H,0,0,D,C Webster,11.0,6.0,6.0,2.0,18.0,19.0,4.0,3.0,2,4,0,0,2.3,3.2,2.7,2.23,3.3,2.92,2.2,3.0,2.6,2.2,3.2,2.8,2.25,3.25,2.75,2.3,3.2,2.7,2.25,3.2,2.75,1400.55,1373.62
