Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,EloHome,EloAway
SC0,19/10/02,Dundee United,Livingston,2,3,A,1,0,H,H Dallas,16.0,13.0,2.0,3.0,14.0,12.0,6.0,5.0,1,1,0,0,2.0,3.25,3.25,2.1,3.25,3.4,2.0,3.1,3.2,2.2,3.25,2.75,2.2,3.25,2.88,2.1,3.2,3.2,2.1,3.2,3.0,1.95,1.7,1517.04,1568.15
SC0,19/10/02,Kilmarnock,Dunfermline,2,2,D,0,1,A,I Fyfe,11.0,9.0,9.0,6.0,15.0,13.0,7.0,3.0,1,2,0,0,2.375,3.2,2.625,2.33,3.2,2.8,2.1,3.1,3.0,2.2,3.25,2.75,2.2,3.25,2.88,2.3,3.2,2.8,2.1,3.2,3.0,1.8,1.83,1580.6,1606.44
SC0,19/10/02,Partick,Hibernian,0,3,A,0,1,A,J Rowbotham,6.0,11.0,3.0,8.0,5.0,18.0,4.0,4.0,1,4,0,0,2.625,3.2,2.375,2.55,3.2,2.6,2.4,2.9,2.7,2.5,3.2,2.5,2.38,3.2,2.62,2.5,3.1,2.6,2.5,3.1,2.5,1.8,1.83,1536.15,1553.32
SC0,19/10/02,Rangers,Motherwell,3,0,H,1,0,H,A Freeland,15.0,2.0,11.0,1.0,8.0,13.0,14.0,1.0,0,1,0,1,1.125,7.0,12.0,1.15,6.25,15.0,1.15,6.0,12.0,1.14,6.0,12.0,1.14,6.0,13.0,1.143,6.0,15.0,1.12,6.0,15.0,2.05,1.6,1880.44,1512.03
SC0,20/10/02,Hearts,Celtic,1,4,A,0,4,A,K Clark,3.0,8.0,1.0,2.0,11.0,12.0,7.0,3.0,1,1,0,0,6.5,3.75,1.444,6.5,4.0,1.45,5.4,3.8,1.45,7.0,3.75,1.4,6.5,3.75,1.44,7.5,4.2,1.364,8.0,3.75,1.36,2.15,1.6,1623.82,1931.2
SC0,26/10/02,Dundee United,Partick,1,1,D,1,0,H,S Dougal,10.0,6.0,2.0,4.0,16.0,6.0,6.0,2.0,1,0,0,0,2.0,3.25,3.25,2.05,3.25,3.25,2.0,3.1,3.2,2.0,3.4,3.0,2.0,3.25,3.25,2.1,3.25,3.0,2.25,3.2,2.75,1.75,1.85,1502.79,1520.73
SC0,26/10/02,Hearts,Dundee,1,2,A,0,1,A,J Underhill,16.0,12.0,9.0,9.0,14.0,12.0,8.0,7.0,1,1,0,0,1.8,3.4,3.75,1.83,3.4,4.0,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.25,4.33,1.727,3.25,4.333,1.8,3.3,3.75,1.7,1.9,1618.01,1570.03
SC0,26/10/02,Motherwell,Livingston,1,5,A,0,1,A,M McCurry,15.0,11.0,7.0,8.0,11.0,16.0,13.0,1.0,1,2,0,0,2.2,3.25,2.8,2.22,3.3,2.8,2.2,3.0,2.9,2.1,3.2,3.0,2.25,3.25,2.75,2.2,3.25,2.8,2.2,3.2,2.8,1.7,1.9,1510.45,1582.4
SC0,27/10/02,Aberdeen,Hibernian,0,1,A,0,0,D,C Richmond,11.0,10.0,9.0,7.0,14.0,12.0,2.0,7.0,3,2,0,0,2.2,3.25,2.8,2.2,3.3,2.9,2.1,3.0,3.1,2.0,3.2,3.2,2.0,3.25,3.25,2.0,3.25,3.25,2.2,3.2,2.8,1.7,1.9,1611.31,1568.74
SC0,27/10/02,Dunfermline,Celtic,1,4,A,0,2,A,D McDonald,9.0,17.0,4.0,14.0,11.0,7.0,5.0,3.0,0,1,0,0,9.0,4.5,1.286,8.0,4.5,1.31,8.0,4.2,1.3,8.0,4.5,1.29,8.5,4.5,1.29,8.5,4.5,1.286,8.0,4.5,1.28,1.42,2.5,1609.07,1937.01
