Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,EloHome,EloAway
SP1,10/11/02,Ath Madrid,Ath Bilbao,3,3,D,1,0,H,1.72,3.2,4.33,1.79,3.51,4.6,1.8,3.1,3.8,1.73,3.2,4.33,1.73,3.25,4.33,1.8,3.3,4.0,1.8,3.1,4.0,1.83,1.83,,,1688.14,1643.53
SP1,10/11/02,Celta,Espanol,1,0,H,1,0,H,1.57,3.5,5.0,1.65,3.43,5.4,1.6,3.4,4.6,1.67,3.25,4.5,1.57,3.4,5.5,1.6,3.4,5.5,1.66,3.1,5.0,1.73,1.93,,,1736.5,1627.86
SP1,10/11/02,Mallorca,Alaves,3,1,H,1,0,H,1.66,3.3,4.5,1.71,3.48,4.55,1.8,3.1,3.8,1.67,3.25,4.5,1.73,3.25,4.33,1.727,3.25,4.5,1.61,3.3,5.0,1.83,1.83,,,1708.44,1639.44
SP1,10/11/02,Recreativo,Valladolid,1,3,A,0,2,A,2.3,3.2,2.62,2.32,3.2,2.8,2.3,2.9,2.8,2.38,3.2,2.6,2.38,3.2,2.62,2.375,3.2,2.7,2.3,3.0,2.8,,,,,1599.87,1638.19
SP1,10/11/02,Sevilla,Santander,1,0,H,1,0,H,2.1,3.2,3.0,2.1,3.2,3.2,2.1,2.8,3.3,2.2,3.2,2.8,2.1,3.0,3.25,2.1,3.1,3.25,2.1,3.0,3.2,1.93,1.73,,,1660.52,1669.66
SP1,16/11/02,La Coruna,Barcelona,2,0,H,0,0,D,2.2,3.0,3.0,2.18,3.2,3.12,2.1,3.0,3.1,2.25,3.2,2.75,2.1,3.2,3.1,2.25,3.2,2.875,2.2,3.1,2.87,1.7,1.9,1.61,2.2,1779.84,1752.26
SP1,16/11/02,Villarreal,Sevilla,1,0,H,0,0,D,2.0,3.2,3.2,2.0,3.15,3.45,1.9,3.0,3.6,2.1,3.0,3.2,2.0,3.1,3.4,2.05,3.1,3.4,2.0,3.0,3.4,1.95,1.65,2.0,1.72,1617.71,1669.82
SP1,17/11/02,Alaves,Recreativo,3,0,H,2,0,H,1.667,3.3,4.5,1.63,3.45,5.44,1.65,3.3,4.4,1.67,3.25,4.5,1.62,3.4,5.0,1.615,3.4,5.0,1.66,3.1,5.0,1.9,1.7,1.8,1.9,1632.58,1585.17
SP1,17/11/02,Ath Bilbao,Vallecano,2,1,H,0,1,A,1.8,3.3,3.75,1.8,3.3,4.15,1.75,3.2,4.0,1.73,3.2,4.33,1.8,3.25,4.0,1.833,3.25,4.0,1.8,3.25,3.8,1.8,1.8,1.8,1.9,1648.45,1659.24
SP1,17/11/02,Betis,Celta,2,1,H,0,0,D,2.0,3.0,3.5,2.0,3.2,3.68,1.9,3.1,3.5,1.91,3.2,3.5,2.0,3.2,3.4,2.0,3.2,3.4,1.9,3.1,3.6,1.85,1.75,2.0,1.72,1737.41,1742.28
SP1,17/11/02,Espanol,Ath Madrid,1,2,A,0,0,D,2.3,3.1,2.7,2.28,3.15,2.85,2.3,2.8,2.9,2.38,3.2,2.6,2.3,3.2,2.7,2.3,3.2,2.8,2.3,3.1,2.75,1.9,1.7,1.9,1.8,1622.08,1683.22
