Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC1,07/12/02,Ayr,Inverness C,3.0,3.0,D,1.0,0.0,H,2.625,3.4,2.2,3.0,3.45,2.0,2.8,3.1,2.0,2.75,3.5,2.1,3.0,3.4,2.0,3.0,3.4,2.0,1431.22,1499.02
SC1,07/12/02,Clyde,St Johnstone,1.0,2.0,A,0.0,1.0,A,2.1,3.5,2.75,1.95,3.45,3.2,2.0,3.1,2.8,1.8,3.5,3.5,1.909,3.4,3.25,2.1,3.4,2.8,1463.74,1373.87
SC1,07/12/02,Falkirk,Arbroath,2.0,1.0,H,1.0,0.0,H,1.333,4.5,6.5,1.33,4.4,7.0,1.3,4.4,6.0,1.33,4.33,7.0,1.3,4.5,7.5,1.3,4.5,7.5,1461.6,1302.86
SC1,07/12/02,Queen of Sth,Alloa,1.0,1.0,D,0.0,1.0,A,1.571,3.75,4.5,1.67,3.65,4.1,1.6,3.4,3.9,1.57,3.75,4.5,1.6,3.6,4.5,1.66,3.5,4.2,1388.8,1284.65
SC1,07/12/02,Ross County,St Mirren,4.0,0.0,H,1.0,0.0,H,2.2,3.4,2.625,2.25,3.45,2.6,2.2,3.1,2.5,2.25,3.4,2.62,2.2,3.4,2.625,2.25,3.4,2.6,1381.57,1365.18
SC1,14/12/02,Alloa,St Mirren,2.0,3.0,A,1.0,0.0,H,2.5,3.5,2.25,2.6,3.45,2.2,2.5,3.3,2.1,2.62,3.5,2.2,2.625,3.4,2.2,2.6,3.4,2.25,1291.25,1356.72
SC1,14/12/02,Clyde,Arbroath,3.0,0.0,H,3.0,0.0,H,1.444,3.75,6.0,1.45,3.75,5.75,1.45,3.7,4.6,1.44,4.0,5.5,1.444,3.75,6.0,1.44,4.0,5.5,1445.02,1298.26
SC1,14/12/02,Falkirk,Inverness C,1.0,1.0,D,1.0,1.0,D,2.0,3.4,3.0,2.0,3.45,2.95,1.9,3.2,2.9,2.1,3.5,2.75,2.1,3.4,2.8,2.0,3.4,3.0,1466.2,1500.18
SC1,14/12/02,Ross County,Ayr,1.0,0.0,H,0.0,0.0,D,2.375,3.5,2.375,2.3,3.4,2.5,2.2,3.3,2.4,2.38,3.5,2.38,2.3,3.4,2.5,2.25,3.4,2.6,1390.03,1430.06
SC1,14/12/02,St Johnstone,Queen of Sth,2.0,2.0,D,0.0,1.0,A,1.667,3.6,4.0,1.75,3.5,3.65,1.7,3.4,3.5,1.8,3.5,3.5,1.75,3.5,3.75,1.72,3.5,3.8,1392.59,1382.2
SC1,21/12/02,Arbroath,Ross County,2.0,1.0,H,2.0,0.0,H,2.6,3.5,2.2,2.7,3.5,2.15,2.5,3.1,2.2,2.75,3.25,2.2,2.6,3.4,2.25,2.6,3.4,2.25,1293.4,1400.39
SC1,21/12/02,Inverness C,Alloa,1.0,1.0,D,1.0,1.0,D,1.3,5.0,6.5,1.35,4.0,7.5,1.3,4.0,7.0,1.33,4.33,7.0,1.333,4.333,7.0,1.33,4.2,7.5,1502.53,1277.51
SC1,28/12/02,Ayr,Arbroath,4.0,0.0,H,1.0,0.0,H,1.615,3.6,4.333,1.6,3.65,5.0,1.6,3.5,3.7,1.73,3.5,3.75,1.615,3.6,4.333,1.61,3.75,4.2,1419.7,1306.15
SC1,28/12/02,Falkirk,Queen of Sth,5.0,0.0,H,3.0,0.0,H,1.5,3.8,5.0,1.45,3.9,5.75,1.45,3.7,4.6,1.57,3.75,4.5,1.5,3.6,5.5,1.44,4.0,5.5,1463.85,1386.04
SC1,28/12/02,Ross County,Clyde,1.0,1.0,D,1.0,0.0,H,2.5,3.5,2.25,2.6,3.1,2.4,2.4,3.1,2.25,2.62,3.5,2.2,2.5,3.4,2.3,2.5,3.4,2.3,1387.64,1449.88
SC1,28/12/02,St Johnstone,Alloa,3.0,0.0,H,0.0,0.0,D,1.444,3.75,6.0,1.52,3.8,5.0,1.5,3.6,4.4,1.57,3.75,4.5,1.5,3.6,5.5,1.57,3.75,4.5,1388.75,1286.67
