Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
SP1,28/09/03,Sevilla,Murcia,1,0,H,0,0,D,1.66,3.2,5.0,1.7,3.25,5.0,1.65,3.2,4.6,1.615,3.25,5.0,1.67,3.25,5.0,1.7,3.1,5.0,1.61,3.3,5.0,1.83,1.83,1.9,1.8,1.85,1.95,-0.75,1.85,2.0,-0.75,1.85,2.05,-0.75,,,,,,,,1685.55,1649.02
SP1,28/09/03,Zaragoza,Betis,0,1,A,0,0,D,2.25,3.2,2.8,2.4,3.1,2.8,2.5,3.0,2.5,2.375,3.2,2.6,2.2,3.25,2.88,2.3,3.1,2.8,2.25,3.1,2.8,1.83,1.83,1.9,1.8,1.78,2.03,0.0,1.8,2.05,0.0,1.75,2.15,0.0,,,,,,,,1611.95,1702.81
SP1,04/10/03,Betis,Ath Bilbao,1,1,D,0,0,D,1.9,3.25,3.5,1.95,3.25,3.6,1.85,3.1,3.6,1.8,3.2,4.0,1.91,3.2,3.6,1.9,3.2,3.6,2.0,3.1,3.3,1.85,1.74,1.83,1.83,1.95,1.85,-0.5,1.95,1.9,-0.5,2.05,1.85,-0.5,,,,,,,,1715.64,1720.32
SP1,04/10/03,La Coruna,Ath Madrid,5,1,H,2,1,H,1.44,3.75,6.5,1.5,3.6,6.5,1.5,3.5,5.4,1.444,3.6,6.5,1.5,3.5,6.0,1.5,3.6,5.75,1.5,3.4,6.0,1.74,1.85,1.72,2.0,1.9,1.9,-1.0,1.9,1.95,-1.0,1.9,2.0,-1.0,,,,,,,,1822.71,1627.28
SP1,04/10/03,Villarreal,Zaragoza,1,1,D,1,1,D,1.72,3.2,4.5,1.75,3.3,4.5,1.6,3.4,4.6,1.667,3.25,4.5,1.67,3.4,4.5,1.7,3.25,4.5,1.66,3.3,4.5,1.85,1.74,1.9,1.8,1.85,1.95,-0.75,1.85,2.0,-0.75,1.85,2.05,-0.75,,,,,,,,1683.34,1599.12
SP1,05/10/03,Barcelona,Valencia,0,1,A,0,1,A,2.2,3.25,2.8,2.3,3.1,2.9,2.1,3.0,3.1,2.25,3.2,2.75,2.38,3.2,2.63,2.2,3.1,3.0,2.3,3.2,2.62,1.74,1.85,1.83,1.83,2.1,1.75,-0.25,2.1,1.75,-0.25,2.125,1.775,-0.25,,,,,,,,1762.44,1785.72
SP1,05/10/03,Malaga,Celta,2,1,H,1,0,H,2.4,3.2,2.6,2.55,3.0,2.65,2.5,3.0,2.5,2.5,2.875,2.625,2.4,3.2,2.6,2.4,3.2,2.6,2.5,2.9,2.62,1.8,1.8,2.0,1.72,1.8,2.0,0.0,1.8,2.05,0.0,1.85,2.05,0.0,,,,,,,,1654.51,1738.53
SP1,05/10/03,Mallorca,Osasuna,1,1,D,0,0,D,2.0,3.25,3.25,2.1,3.2,3.3,2.0,3.1,3.2,2.1,3.2,3.0,2.0,3.1,3.4,2.0,3.1,3.4,2.1,3.2,3.0,1.74,1.85,2.0,1.72,1.85,1.95,-0.25,1.85,2.0,-0.25,1.85,2.05,-0.25,,,,,,,,1661.96,1695.25
SP1,05/10/03,Murcia,Albacete,1,0,H,1,0,H,1.9,3.25,3.5,1.95,3.15,3.75,1.9,3.1,3.5,1.833,3.2,3.75,2.0,3.1,3.4,2.0,3.1,3.4,1.9,3.2,3.5,1.85,1.74,2.0,1.72,1.95,1.85,-0.5,2.0,1.85,-0.5,2.0,1.9,-0.5,,,,,,,,1641.19,1599.88
SP1,05/10/03,Real Madrid,Espanol,2,1,H,0,0,D,1.2,5.0,12.0,1.25,5.0,10.0,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.0,12.0,1.2,5.0,12.0,1.16,5.5,12.0,1.41,2.45,1.57,2.25,1.8,2.0,-1.75,1.8,2.05,-1.75,1.8,2.1,-1.75,,,,,,,,1853.91,1620.23
SP1,05/10/03,Sociedad,Sevilla,1,1,D,1,1,D,1.66,3.2,5.0,1.7,3.3,4.8,1.65,3.2,4.6,1.667,3.25,4.5,1.67,3.25,4.75,1.7,3.25,4.5,1.61,3.3,5.0,1.85,1.74,1.83,1.83,2.0,1.8,-0.75,2.0,1.85,-0.75,1.95,1.95,-0.75,,,,,,,,1787.49,1693.38
