Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,EloHome,EloAway
SC2,13/12/03,Dumbarton,East Fife,3.0,1.0,H,1.0,0.0,H,2.1,3.5,2.75,2.2,3.5,2.6,,,,2.1,3.5,2.75,,,,2.2,3.5,2.62,2.2,3.5,2.62,,,,,,,,,,,,,,,,,,,,,1204.63,1205.57
SC2,27/12/03,East Fife,Arbroath,0.0,1.0,A,0.0,1.0,A,2.1,3.5,2.75,1.9,3.5,3.2,2.0,3.1,2.8,1.833,3.5,3.4,,,,1.9,3.5,3.2,1.9,3.6,3.1,,,,,,,,,,,,,,,,,,,,,1196.54,1136.5
SC2,27/12/03,Forfar,Berwick,1.0,5.0,A,1.0,3.0,A,2.1,3.5,2.75,2.15,3.4,2.7,2.1,3.1,2.7,1.909,3.5,3.2,,,,2.1,3.5,2.75,2.25,3.4,2.6,,,,,,,,,,,,,,,,,,,,,1271.1,1227.91
SC2,27/12/03,Stenhousemuir,Airdrie Utd,0.0,1.0,A,0.0,1.0,A,2.5,3.5,2.25,2.65,3.5,2.15,2.7,3.1,2.1,2.5,3.5,2.25,,,,2.75,3.5,2.1,2.75,3.5,2.1,,,,,,,,,,,,,,,,,,,,,1147.62,1265.32
SC2,03/01/04,Berwick,East Fife,0.0,2.0,A,0.0,1.0,A,1.727,3.6,3.75,1.8,3.5,3.5,1.9,3.4,2.8,1.8,3.5,3.5,,,,1.8,3.5,3.4,1.9,3.5,3.2,,,,,,,,,,,,,,,,,,,,,1245.29,1178.66
SC2,03/01/04,Dumbarton,Morton,1.0,0.0,H,1.0,0.0,H,4.0,3.6,1.667,3.95,3.5,1.7,3.1,3.4,1.8,3.5,3.5,1.8,,,,3.6,3.6,1.72,3.75,3.6,1.72,,,,,,,,,,,,,,,,,,,,,1213.66,1348.0
SC2,10/01/04,Dumbarton,Forfar,2.0,1.0,H,1.0,1.0,D,2.25,3.5,2.5,2.2,3.5,2.6,2.0,3.1,2.8,2.1,3.5,2.75,,,,2.2,3.5,2.6,2.1,3.5,2.75,,,,,,,,,,,,,,,,,,,,,1227.39,1253.72
SC2,10/01/04,Stenhousemuir,Alloa,1.0,3.0,A,1.0,0.0,H,2.2,3.5,2.6,2.2,3.5,2.6,2.2,3.1,2.5,2.25,3.5,2.5,,,,2.2,3.5,2.6,2.37,3.3,2.5,,,,,,,,,,,,,,,,,,,,,1135.76,1178.91
SC2,17/01/04,Alloa,Dumbarton,3.0,0.0,H,1.0,0.0,H,2.6,3.5,2.2,2.6,3.35,2.25,2.5,3.1,2.2,2.62,3.5,2.2,,,,2.5,3.5,2.25,2.6,3.4,2.25,,,,,,,,,,,,,,,,,,,,,1193.44,1237.28
SC2,17/01/04,Arbroath,Berwick,1.0,2.0,A,1.0,0.0,H,2.5,3.4,2.3,2.5,3.3,2.35,2.5,3.1,2.2,2.38,3.5,2.38,,,,2.5,3.5,2.25,2.5,3.3,2.37,,,,,,,,,,,,,,,,,,,,,1154.38,1227.22
SC2,17/01/04,East Fife,Stenhousemuir,1.0,0.0,H,0.0,0.0,D,1.66,3.6,4.0,1.7,3.65,3.75,1.7,3.4,3.5,1.73,3.5,3.75,,,,1.67,3.5,4.0,1.72,3.75,3.6,,,,,,,,,,,,,,,,,,,,,1196.73,1121.23
