Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,EloHome,EloAway
T1,19/10/03,A. Sebatspor,Genclerbirligi,0,3,A,0,1,A,3.2,3.2,2.0,3.35,3.25,1.85,3.4,3.2,1.9,3.25,3.4,1.909,4.0,3.2,1.8,3.6,3.3,1.8,1.5,2.3,1.91,1.8,0.5,1352.99,1547.46
T1,19/10/03,Bursaspor,Fenerbahce,2,2,D,0,1,A,4.33,3.4,1.66,4.5,3.35,1.6,4.4,3.3,1.65,4.5,3.75,1.571,5.0,3.4,1.61,4.5,3.5,1.61,1.6,2.1,1.84,1.87,0.75,1412.03,1600.55
T1,19/10/03,Denizlispor,Trabzonspor,0,1,A,0,0,D,2.25,3.2,2.75,2.0,3.3,2.9,2.1,3.2,2.9,2.25,3.4,2.6,2.37,3.25,2.6,1.95,3.3,3.1,1.65,2.0,,,,1486.21,1496.32
T1,19/10/03,Malatyaspor,Istanbulspor,2,1,H,0,0,D,1.8,3.4,3.7,1.8,3.3,3.45,1.85,3.2,3.5,1.667,3.6,4.0,1.75,3.4,4.0,1.9,3.25,3.3,1.65,2.0,1.75,1.97,-0.5,1516.76,1479.73
T1,19/10/03,Samsunspor,Gaziantepspor,1,2,A,1,0,H,2.4,3.2,2.5,2.3,3.2,2.5,2.3,3.1,2.6,2.25,3.4,2.6,2.4,3.2,2.6,2.25,3.25,2.6,1.65,2.0,1.77,1.95,0.0,1423.87,1545.53
T1,24/10/03,Fenerbahce,Adanaspor,3,0,H,1,0,H,1.16,5.5,11.0,1.15,5.3,11.0,1.15,6.0,12.0,1.143,6.0,13.0,1.12,6.5,15.0,1.14,6.0,12.0,1.4,2.6,,,,1597.43,1391.45
T1,25/10/03,Diyarbakirspor,Ankaragucu,1,1,D,1,0,H,2.2,3.25,2.75,2.1,3.2,2.8,2.1,3.2,2.9,2.1,3.4,2.8,2.1,3.2,3.1,2.0,3.3,3.0,1.65,2.0,1.8,1.9,-0.25,1390.95,1489.39
T1,25/10/03,Elazigspor,Denizlispor,2,4,A,0,3,A,2.75,3.2,2.25,2.6,3.2,2.2,2.9,3.2,2.1,2.75,3.25,2.2,2.7,3.2,2.3,2.5,3.3,2.3,1.65,2.0,1.8,1.9,0.25,1379.31,1470.55
T1,25/10/03,Galatasaray,Samsunspor,1,0,H,0,0,D,1.16,5.5,11.0,1.17,5.0,11.0,1.17,5.5,11.0,1.167,5.5,12.0,1.16,6.0,12.0,1.16,5.5,12.0,1.45,2.45,,,,1714.1,1412.15
T1,25/10/03,Trabzonspor,Malatyaspor,0,0,D,0,0,D,1.72,3.4,4.0,1.75,3.3,3.65,1.85,3.2,3.5,1.8,3.4,3.6,1.66,3.4,4.5,1.83,3.3,3.5,1.65,2.0,2.1,1.65,-1.0,1511.98,1524.57
T1,26/10/03,Gaziantepspor,Besiktas,0,3,A,0,2,A,3.5,3.4,1.83,3.65,3.3,1.75,3.5,3.1,1.9,3.5,3.5,1.8,4.0,3.4,1.75,4.5,3.5,1.61,1.65,2.0,1.6,2.2,1.0,1557.25,1752.26
T1,26/10/03,Genclerbirligi,Rizespor,1,0,H,1,0,H,1.57,3.5,5.0,1.5,3.5,5.1,1.5,3.7,5.0,1.571,3.75,4.5,1.57,3.4,5.5,1.5,3.75,5.0,1.6,2.1,2.05,1.7,-1.25,1556.64,1442.46
T1,26/10/03,Istanbulspor,Bursaspor,3,0,H,2,0,H,1.61,3.5,4.5,1.75,3.3,3.65,1.75,3.3,3.8,1.667,3.6,4.0,1.72,3.4,4.2,1.72,3.25,4.0,1.65,2.0,1.75,1.95,-0.5,1471.92,1415.15
T1,26/10/03,Konyaspor,A. Sebatspor,0,0,D,0,0,D,1.57,3.5,5.0,1.57,3.5,4.4,1.6,3.4,4.6,1.571,3.75,4.5,1.57,3.4,5.5,1.57,3.6,4.5,1.6,2.1,2.05,1.7,-1.0,1406.21,1343.81
T1,31/10/03,Besiktas,Galatasaray,0,0,D,0,0,D,2.0,3.2,3.2,1.9,3.3,3.35,2.1,3.1,3.0,1.8,3.4,3.6,2.0,3.2,3.3,1.9,3.25,3.4,1.65,2.0,1.78,2.0,-0.5,1761.42,1716.35
T1,01/11/03,Ankaragucu,Gaziantepspor,1,4,A,1,2,A,2.1,3.2,3.0,2.0,3.3,3.0,2.1,3.1,3.0,2.1,3.4,2.8,2.2,3.2,2.88,2.25,3.1,2.7,1.65,2.0,1.8,1.9,-0.25,1489.45,1548.09
T1,01/11/03,Denizlispor,Diyarbakirspor,1,2,A,1,1,D,1.53,3.6,5.0,1.5,3.65,5.35,1.55,3.5,4.8,1.53,3.75,5.0,1.57,3.4,5.5,1.6,3.4,4.6,1.6,2.1,1.85,1.85,-1.0,1483.37,1390.89
T1,01/11/03,Istanbulspor,Trabzonspor,0,2,A,0,0,D,2.3,3.2,2.62,2.4,3.1,2.55,2.4,3.0,2.6,2.4,3.25,2.5,2.5,3.2,2.5,2.3,3.2,2.55,1.65,2.0,1.8,1.9,0.0,1479.13,1508.9
T1,01/11/03,Samsunspor,Genclerbirligi,2,1,H,0,1,A,2.75,3.2,2.25,2.85,3.25,2.1,3.0,3.3,2.0,2.75,3.25,2.2,2.75,3.25,2.25,2.65,3.25,2.2,1.55,2.2,1.93,1.78,0.25,1409.9,1562.28
