Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,EloHome,EloAway
B1,25/10/03,Antwerp,Lierse,3,1,H,1,0,H,2.75,3.2,2.25,2.75,3.25,2.2,2.7,3.2,2.2,2.7,3.25,2.25,2.4,3.3,2.4,1.75,1.9,,,,,,,,,,,,,,,,,,,,,,,1451.17,1584.67
B1,25/10/03,Beveren,Mouscron,0,3,A,0,2,A,2.37,3.25,2.5,2.55,3.25,2.35,2.7,3.2,2.2,2.5,3.4,2.3,2.5,3.3,2.3,1.71,1.95,,,,,,,,,,,,,,,,,,,,,,,1443.73,1546.45
B1,25/10/03,Gent,Bergen,0,0,D,0,0,D,1.61,3.5,4.5,1.57,3.45,5.1,1.65,3.3,4.4,1.57,3.5,5.0,1.65,3.3,4.4,1.9,1.75,,,,,,,,,,,,,,,,,,,,,,,1593.32,1498.38
B1,25/10/03,Louvieroise,Genk,5,2,H,2,1,H,2.5,3.25,2.37,2.65,3.25,2.27,2.7,3.2,2.2,2.75,3.2,2.25,2.8,3.15,2.15,1.75,1.9,,,,,,,,,,,,,,,,,,,,,,,1509.87,1694.2
B1,26/10/03,Cercle Brugge,Lokeren,2,2,D,0,1,A,2.1,3.2,3.0,2.0,3.25,3.15,2.2,3.2,2.7,2.0,3.2,3.2,2.0,3.3,3.0,1.9,1.75,,,,,,,,,,,,,,,,,,,,,,,1510.78,1570.5
B1,26/10/03,Heusden Zolder,Club Brugge,4,2,H,2,1,H,8.0,4.33,1.3,8.0,4.3,1.3,9.0,4.5,1.25,8.0,4.33,1.3,8.0,4.5,1.28,1.4,2.6,,,,,,,,,,,,,,,,,,,,,,,1439.71,1783.16
B1,26/10/03,St Truiden,Standard,1,2,A,1,1,D,2.37,3.25,2.5,2.4,3.25,2.5,2.4,3.2,2.4,2.5,3.1,2.5,2.6,3.3,2.3,1.9,1.75,,,,,,,,,,,,,,,,,,,,,,,1624.39,1622.8
B1,26/10/03,Westerlo,Charleroi,2,1,H,0,1,A,1.61,3.5,4.5,1.6,3.45,4.75,1.65,3.3,4.4,1.61,3.4,4.75,1.6,3.4,4.6,1.85,1.79,,,,,,,,,,,,,,,,,,,,,,,1537.64,1437.08
B1,31/10/03,Lierse,Gent,0,0,D,0,0,D,2.1,3.2,3.0,2.05,3.2,3.1,2.1,3.2,2.9,2.0,3.2,3.2,2.05,3.35,2.85,1.55,2.2,,,,,,,,,,,,,,,,,,,,,,,1570.97,1586.96
B1,31/10/03,Mouscron,Anderlecht,0,1,A,0,1,A,4.33,3.4,1.66,3.6,3.3,1.85,3.6,3.3,1.8,4.0,3.4,1.73,4.0,3.4,1.72,1.4,2.6,,,,,,,,,,,,,,,,,,,,,,,1558.85,1813.31
B1,01/11/03,Bergen,St Truiden,3,4,A,1,1,D,2.37,3.2,2.62,2.35,3.1,2.7,2.2,3.1,2.8,2.3,3.3,2.6,2.25,3.1,2.7,1.79,1.85,,,,,,,,,,,,,,,,,,,,,,,1504.74,1608.34
