Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
SC3,13/12/03,East Stirling,Albion Rvs,3.0,4.0,A,2.0,2.0,D,3.75,3.6,1.727,3.3,3.5,1.85,,,,3.5,3.5,1.8,,,,3.4,3.5,1.83,3.8,3.75,1.66,790.31,1060.4
SC3,13/12/03,Elgin,Stirling,0.0,2.0,A,0.0,1.0,A,6.0,3.75,1.444,5.5,3.75,1.47,,,,5.0,3.75,1.533,,,,5.0,3.8,1.5,5.5,4.0,1.44,879.99,1142.61
SC3,13/12/03,Montrose,Gretna,2.0,0.0,H,2.0,0.0,H,3.2,3.5,1.909,3.2,3.5,1.9,,,,3.0,3.4,2.0,,,,3.2,3.4,1.9,3.4,3.6,1.8,980.06,1118.36
SC3,13/12/03,Peterhead,Queens Park,4.0,1.0,H,2.0,0.0,H,1.571,3.75,4.5,1.57,3.7,4.5,,,,1.667,3.6,4.0,,,,1.61,3.6,4.33,1.57,3.75,4.5,1135.01,967.05
SC3,13/12/03,Stranraer,Cowdenbeath,2.0,0.0,H,1.0,0.0,H,1.667,3.6,4.0,1.65,3.6,4.1,,,,1.8,3.5,3.5,,,,1.66,3.6,4.0,1.83,3.6,3.3,1141.93,1087.88
SC3,27/12/03,Cowdenbeath,Peterhead,2.0,0.0,H,1.0,0.0,H,2.5,3.4,2.3,2.5,3.45,2.3,2.3,3.1,2.3,2.375,3.5,2.375,,,,2.5,3.5,2.25,2.5,3.4,2.3,1080.59,1139.41
SC3,27/12/03,Gretna,East Stirling,2.0,1.0,H,0.0,0.0,D,1.25,5.0,8.0,1.22,5.0,9.0,1.25,4.5,7.0,1.222,5.0,10.0,,,,1.22,5.0,8.5,1.2,5.5,9.0,1104.49,783.48
SC3,03/01/04,Cowdenbeath,Montrose,3.0,3.0,D,2.0,2.0,D,1.909,3.5,3.2,2.0,3.4,3.0,2.0,3.3,2.7,2.0,3.4,3.0,,,,1.9,3.5,3.1,2.1,3.5,2.75,1091.62,993.93
SC3,03/01/04,Peterhead,Elgin,5.0,1.0,H,1.0,1.0,D,1.333,4.5,6.5,1.35,4.25,6.5,1.35,4.0,5.5,1.364,4.333,6.5,,,,1.33,4.33,6.5,1.36,4.0,7.0,1128.38,872.95
SC3,03/01/04,Queens Park,Albion Rvs,1.0,1.0,D,0.0,0.0,D,2.3,3.4,2.5,2.3,3.4,2.5,2.2,3.3,2.4,2.25,3.5,2.5,,,,2.25,3.5,2.5,2.37,3.5,2.37,962.65,1067.23
SC3,03/01/04,Stranraer,Gretna,1.0,2.0,A,0.0,1.0,A,2.1,3.5,2.75,2.1,3.4,2.8,2.0,3.3,2.7,2.1,3.5,2.75,,,,2.1,3.4,2.75,2.1,3.4,2.8,1149.22,1106.52
SC3,10/01/04,East Stirling,Stirling,2.0,4.0,A,1.0,0.0,H,7.0,5.0,1.28,7.3,4.5,1.3,6.5,4.2,1.3,8.0,4.5,1.29,,,,7.5,4.6,1.29,7.5,4.5,1.3,781.45,1149.65
SC3,10/01/04,Queens Park,Stranraer,0.0,4.0,A,0.0,3.0,A,4.0,3.6,1.66,3.7,3.5,1.75,3.4,3.3,1.75,3.4,3.5,1.83,,,,3.75,3.6,1.73,4.0,3.6,1.66,962.81,1131.86
SC3,17/01/04,Elgin,East Stirling,3.0,0.0,H,2.0,0.0,H,1.61,3.6,4.33,1.7,3.5,4.0,1.7,3.4,3.5,1.67,3.6,4.0,,,,1.67,3.5,4.0,1.8,3.5,3.5,870.09,777.05
SC3,17/01/04,Gretna,Queens Park,0.0,1.0,A,0.0,0.0,D,1.53,4.0,4.5,1.5,3.8,5.0,1.5,3.6,4.4,1.44,4.0,5.5,,,,1.5,3.75,5.0,1.5,3.8,5.0,1123.88,952.76
SC3,17/01/04,Montrose,Peterhead,2.0,1.0,H,1.0,0.0,H,2.75,3.5,2.1,2.65,3.4,2.2,2.5,3.1,2.2,2.5,3.5,2.25,,,,2.6,3.4,2.2,2.62,3.5,2.2,1000.36,1131.24
SC3,17/01/04,Stirling,Cowdenbeath,1.0,1.0,D,0.0,0.0,D,1.57,3.75,4.5,1.6,3.75,4.25,1.6,3.4,3.9,1.57,3.75,4.5,,,,1.53,3.75,4.6,1.61,3.75,4.2,1154.05,1085.19
SC3,24/01/04,Cowdenbeath,Gretna,1.0,2.0,A,1.0,1.0,D,2.37,3.5,2.37,2.45,3.4,2.35,2.3,3.1,2.3,2.25,3.5,2.5,,,,2.38,3.4,2.38,2.5,3.4,2.3,1090.83,1103.22
SC3,24/01/04,Peterhead,East Stirling,6.0,0.0,H,4.0,0.0,H,1.2,5.5,9.0,1.18,5.6,9.65,1.2,4.7,6.5,1.22,5.5,8.0,,,,1.2,5.5,8.5,1.16,6.0,10.0,1117.63,770.86
SC3,24/01/04,Queens Park,Montrose,1.0,1.0,D,0.0,0.0,D,2.37,3.5,2.37,2.45,3.45,2.35,2.3,3.1,2.3,2.25,3.5,2.5,,,,2.3,3.5,2.4,2.5,3.4,2.3,973.42,1013.97
