Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,EloHome,EloAway
E3,06/09/03,Oxford,Southend,2,0,H,1,0,H,R Oliver,13,13,8,7,10,10,3,7,1,0,0,0,1.533,3.4,6.0,1.55,3.55,5.75,1.55,3.3,4.5,1.5,3.4,6.0,1.53,3.5,5.5,1.53,3.5,5.5,1.53,3.6,5.0,1.95,1.75,,,,,,,1190.72,1081.5
E3,06/09/03,Torquay,Leyton Orient,2,1,H,0,0,D,C Penton,10,7,6,3,6,20,1,8,2,2,1,2,1.833,3.25,3.75,1.85,3.25,3.9,1.8,3.1,3.4,1.8,3.25,3.75,1.8,3.25,4.0,1.9,3.25,3.5,1.83,3.4,3.5,1.75,1.95,,,,,,,1155.95,1088.17
E3,06/09/03,Yeovil,Swansea,2,0,H,1,0,H,S Dunn,10,7,8,3,14,11,5,7,2,2,0,0,2.3,3.2,2.7,2.3,3.25,2.8,2.2,3.0,2.6,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.2,3.25,2.75,1.75,1.95,,,,,,,1209.46,1150.2
E3,06/09/03,York,Rochdale,1,2,A,0,2,A,M Atkinson,20,14,15,10,11,13,8,3,0,3,1,1,1.833,3.25,3.75,1.83,3.35,3.9,1.85,3.1,3.2,1.727,3.4,4.0,1.91,3.25,3.5,1.9,3.25,3.5,1.83,3.3,3.6,2.05,1.65,,,,,,,1188.36,1130.12
E3,08/09/03,Doncaster,Hull,0,0,D,0,0,D,E Evans,12,8,5,3,11,10,2,4,3,2,0,0,2.5,3.2,2.5,2.5,3.25,2.55,2.35,3.0,2.35,2.6,3.2,2.38,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.9,1.79,,,,,,,1237.45,1162.27
E3,13/09/03,Bristol Rvs,Boston,2,0,H,0,0,D,R Beeby,12,10,9,5,12,16,8,3,2,1,0,0,1.66,3.4,4.5,1.67,3.5,4.65,1.65,3.2,3.9,1.727,3.4,4.0,1.67,3.4,4.5,1.66,3.4,4.5,1.66,3.3,4.5,1.9,1.79,,,,,,,1149.36,1157.66
E3,13/09/03,Bury,Cheltenham,1,1,D,1,0,H,N Miller,12,9,6,5,16,12,1,4,4,1,0,0,2.3,3.2,2.7,2.3,3.25,2.8,2.3,3.1,2.3,2.25,3.2,2.75,2.38,3.25,2.62,2.3,3.2,2.7,2.3,3.2,2.62,1.6,2.15,,,,,,,1188.65,1226.55
E3,13/09/03,Cambridge,Torquay,1,1,D,1,1,D,S Tanner,11,10,4,7,15,4,3,12,3,2,1,0,2.0,3.25,3.25,2.1,3.3,3.1,2.1,3.0,2.8,2.0,3.2,3.2,2.0,3.25,3.25,2.0,3.25,3.25,2.2,3.2,2.8,1.9,1.79,,,,,,,1130.16,1162.84
E3,13/09/03,Carlisle,Rochdale,3,2,H,3,0,H,M Ryan,14,8,8,6,10,10,8,9,1,1,0,0,2.62,3.2,2.37,2.7,3.4,2.3,2.6,3.0,2.2,3.0,3.2,2.1,2.75,3.25,2.25,2.75,3.25,2.25,2.62,3.3,2.25,2.15,1.6,,,,,,,1052.97,1147.95
E3,13/09/03,Darlington,Doncaster,2,1,H,0,0,D,G Laws,15,14,9,5,15,8,7,6,0,1,0,0,2.25,3.25,2.75,2.3,3.3,2.75,2.2,3.0,2.6,2.25,3.2,2.75,2.38,3.25,2.62,2.37,3.2,2.62,2.25,3.2,2.75,1.95,1.75,,,,,,,1096.45,1231.63
