country,season,file,round,round_start,history_mode,matches,correct,accuracy,logloss,brier,rps
England,1998-99,E2,24,1998-12-28,5season,11,4,0.36363636363636365,1.087467960676921,0.6669855495887288,0.2142604731233968
England,1998-99,E2,25,1999-01-02,5season,13,8,0.6153846153846154,0.9351970981406125,0.546473157149471,0.21719841444547744
England,1998-99,E2,26,1999-01-09,5season,10,3,0.3,1.1406579051403127,0.693971899411725,0.26380182687591897
England,1998-99,E2,27,1999-01-16,5season,11,5,0.45454545454545453,0.9744948922376541,0.5873573916027062,0.194473434748651
England,1998-99,E2,28,1999-01-23,5season,11,4,0.36363636363636365,1.1102400290350187,0.674269231749607,0.25795279155181494
England,1998-99,E2,29,1999-01-30,5season,14,6,0.42857142857142855,1.0456654806667727,0.6294657663289925,0.19696436902161407
England,1998-99,E2,30,1999-02-05,5season,10,5,0.5,1.0016469399823937,0.5978136190161042,0.2377462259905013
England,1998-99,E2,31,1999-02-13,5season,13,5,0.38461538461538464,1.1225596887023799,0.6854339562608195,0.2527430449339065
England,1998-99,E2,32,1999-02-20,5season,11,7,0.6363636363636364,0.960483061825485,0.5728116552590969,0.16719548837445294
England,1998-99,E2,33,1999-02-27,5season,13,7,0.5384615384615384,0.9605103744578682,0.5682859091811557,0.2111487160302547
England,1998-99,E2,34,1999-03-02,5season,13,6,0.46153846153846156,1.082380661532309,0.6621263933304379,0.22414191656655044
England,1998-99,E2,35,1999-03-06,5season,12,6,0.5,1.1834175963286668,0.7078707719905474,0.2964692923198173
England,1998-99,E2,36,1999-03-13,5season,13,5,0.38461538461538464,1.1144899164724096,0.6782427893475149,0.2491583989234856
England,1998-99,E2,37,1999-03-20,5season,13,8,0.6153846153846154,0.9500374404318476,0.5568600013253678,0.22238827835792574
England,1998-99,E2,38,1999-03-27,5season,13,5,0.38461538461538464,1.080172429529513,0.661594027752569,0.2408080055519134
England,1998-99,E2,39,1999-04-01,5season,11,10,0.9090909090909091,0.7576616786202283,0.4260919359820448,0.15391296613806385
England,1998-99,E2,40,1999-04-05,5season,12,4,0.3333333333333333,1.1473736354768942,0.698947074761215,0.25527483334319884
England,1998-99,E2,41,1999-04-10,5season,12,6,0.5,0.9743259316300698,0.5834636836732309,0.19754881984962255
England,1998-99,E2,42,1999-04-13,5season,10,3,0.3,1.187026758380366,0.7177702854395069,0.23171581922515588
England,1998-99,E2,43,1999-04-17,5season,15,4,0.26666666666666666,1.1631961356198988,0.7186385496901491,0.2761143228497387
England,1998-99,E2,44,1999-04-24,5season,12,6,0.5,1.083569001317248,0.6423270515596399,0.24534303456099416
England,1998-99,E2,45,1999-05-01,5season,15,5,0.3333333333333333,1.161444385500072,0.7182582826626238,0.2171954826775009
England,1998-99,E2,46,1999-05-08,5season,12,6,0.5,0.9890371728613232,0.5931490256175254,0.22072951555447531
England,1998-99,E3,1,1998-08-08,5season,12,6,0.5,0.924013269478612,0.5455292305526106,0.21529297793297342
England,1998-99,E3,2,1998-08-15,5season,12,6,0.5,1.0611699107821315,0.636338588460203,0.26068580186430396
England,1998-99,E3,3,1998-08-21,5season,12,4,0.3333333333333333,1.10401508937092,0.6660236191642882,0.22050035062755344
England,1998-99,E3,4,1998-08-28,5season,12,4,0.3333333333333333,1.1335813740795586,0.6862342491597087,0.2856248911955712
England,1998-99,E3,5,1998-08-31,5season,12,6,0.5,1.0250232913273427,0.607863846608636,0.22810486019435697
England,1998-99,E3,6,1998-09-04,5season,12,7,0.5833333333333334,1.0330814498417509,0.6118309245997652,0.2667904269459185
England,1998-99,E3,7,1998-09-08,5season,12,7,0.5833333333333334,1.0007648679903005,0.5934868804615908,0.2209156269764544
England,1998-99,E3,8,1998-09-11,5season,12,6,0.5,1.1716790931009349,0.7038365866244293,0.25774420751693333
England,1998-99,E3,9,1998-09-19,5season,12,8,0.6666666666666666,0.9379767422540918,0.5545221684488871,0.20141935388638998
England,1998-99,E3,10,1998-09-27,5season,12,6,0.5,1.039039786164612,0.6365999138528482,0.1873723860400822
England,1998-99,E3,11,1998-10-03,5season,12,4,0.3333333333333333,1.1897828053245472,0.7276966280239368,0.2512981944624136
England,1998-99,E3,12,1998-10-09,5season,11,5,0.45454545454545453,1.09364191023622,0.6565238775477563,0.20904498103207333
England,1998-99,E3,13,1998-10-16,5season,12,4,0.3333333333333333,1.1426977954791033,0.6935968924324948,0.21590510387536388
England,1998-99,E3,14,1998-10-20,5season,12,4,0.3333333333333333,1.0918119418631613,0.6690681410120267,0.18527235622013324
England,1998-99,E3,15,1998-10-24,5season,8,5,0.625,1.0440511533033339,0.6203977336948778,0.21601745784434653
England,1998-99,E3,16,1998-10-31,5season,12,5,0.4166666666666667,1.1129985687241524,0.6867583361183999,0.23079881430226235
England,1998-99,E3,17,1998-11-07,5season,13,6,0.46153846153846156,1.0574668149835427,0.629401431845981,0.24168672632593838
England,1998-99,E3,18,1998-11-10,5season,10,4,0.4,1.038495469847655,0.6270349290605471,0.2303254307176354
England,1998-99,E3,19,1998-11-20,5season,12,7,0.5833333333333334,0.9639445335185125,0.5706129267803717,0.20948880642133783
England,1998-99,E3,20,1998-11-27,5season,16,8,0.5,1.0618970855084022,0.6419650604033706,0.2405386882483738
England,1998-99,E3,21,1998-12-11,5season,10,6,0.6,0.9987640357784177,0.5890662361753105,0.255413321165676
England,1998-99,E3,22,1998-12-18,5season,11,6,0.5454545454545454,1.080528135504087,0.657459670030116,0.24952782261071693
England,1998-99,E3,23,1998-12-26,5season,13,7,0.5384615384615384,0.9693119562441059,0.5787924135521226,0.16556845914378587
England,1998-99,E3,24,1998-12-28,5season,12,6,0.5,1.0171289568112643,0.6045192193430108,0.2264404934302409
England,1998-99,E3,25,1999-01-02,5season,10,3,0.3,1.1319824184525689,0.6937048767195316,0.17559340774830845
England,1998-99,E3,26,1999-01-09,5season,12,9,0.75,0.8902168685856585,0.5199491652478986,0.2024848483169269
England,1998-99,E3,27,1999-01-15,5season,12,9,0.75,0.9283569318540837,0.541763352737545,0.19505611442402604
England,1998-99,E3,28,1999-01-23,5season,11,5,0.45454545454545453,1.068431958312387,0.6590265702848138,0.21026450992178392
England,1998-99,E3,29,1999-01-30,5season,13,4,0.3076923076923077,1.2734817942891548,0.7670799036159328,0.2427813474482155
England,1998-99,E3,30,1999-02-05,5season,13,7,0.5384615384615384,0.9791572461014575,0.5889730434679256,0.20450819107174764
England,1998-99,E3,31,1999-02-13,5season,13,3,0.23076923076923078,1.1951570338190551,0.7250153643237021,0.28950053631022465
England,1998-99,E3,32,1999-02-20,5season,9,4,0.4444444444444444,1.0323609742637319,0.6282870170497656,0.1526595509745515
England,1998-99,E3,33,1999-02-27,5season,13,7,0.5384615384615384,1.0064207264295595,0.5876214442266324,0.2377662890476045
England,1998-99,E3,34,1999-03-05,5season,9,5,0.5555555555555556,0.9960725689501216,0.6022698479805244,0.18856794398658977
England,1998-99,E3,35,1999-03-09,5season,13,5,0.38461538461538464,1.0562660974629017,0.6458748607721021,0.19907274801311986
England,1998-99,E3,36,1999-03-13,5season,15,4,0.26666666666666666,1.2026842817979295,0.7340117056746338,0.26912882046494874
England,1998-99,E3,37,1999-03-20,5season,11,3,0.2727272727272727,1.161018390653919,0.7126265747811922,0.2370841577762284
England,1998-99,E3,38,1999-03-26,5season,13,9,0.6923076923076923,0.9275744360904679,0.543234272542302,0.1986176510290152
England,1998-99,E3,39,1999-04-03,5season,10,3,0.3,1.2176926333209046,0.7419806751902001,0.24376285504823886
England,1998-99,E3,40,1999-04-05,5season,14,6,0.42857142857142855,1.0733310638808442,0.6507890306595235,0.20760728550989976
England,1998-99,E3,41,1999-04-10,5season,13,4,0.3076923076923077,1.1780997209358703,0.7242636336938569,0.22134706276003466
England,1998-99,E3,42,1999-04-13,5season,10,4,0.4,1.1235497965558365,0.6918281988730163,0.19663490357447386
England,1998-99,E3,43,1999-04-17,5season,13,7,0.5384615384615384,0.9720078390895439,0.5745775634357055,0.21429076467319824
England,1998-99,E3,44,1999-04-24,5season,15,7,0.4666666666666667,1.0696913404411663,0.6498483996619631,0.19770019072172634
England,1998-99,E3,45,1999-05-01,5season,14,8,0.5714285714285714,1.0810721485516372,0.6474990666149131,0.25315109790618673
England,1998-99,E3,46,1999-05-08,5season,12,4,0.3333333333333333,1.1728193037478143,0.7176225643338223,0.22792139796470065
England,1999-00,E0,1,1999-08-07,5season,10,3,0.3,1.1172590505046331,0.6824880369985521,0.25805848912412177
England,1999-00,E0,2,1999-08-09,5season,8,7,0.875,0.7545358902860093,0.4244357591359965,0.17311072476299932
England,1999-00,E0,3,1999-08-14,5season,10,3,0.3,1.132447528539798,0.6888958150047849,0.19522226614471153
England,1999-00,E0,4,1999-08-21,5season,10,7,0.7,0.9301793366239355,0.5486528833287123,0.21316476838038864
England,1999-00,E0,5,1999-08-23,5season,9,4,0.4444444444444444,1.0784174345377053,0.6420165161085511,0.28189714757398376
England,1999-00,E0,6,1999-08-28,5season,10,6,0.6,0.8841050197574203,0.5272544380956239,0.18043486579132548
England,1999-00,E0,7,1999-09-11,5season,9,7,0.7777777777777778,0.7946914533662963,0.45064478522285967,0.1617699246334338
England,1999-00,E0,8,1999-09-18,5season,10,6,0.6,0.925679012460152,0.5608412015209188,0.19719155650146786
England,1999-00,E0,9,1999-09-25,5season,10,5,0.5,0.9793191896616514,0.5938762202049598,0.21376102726383023
England,1999-00,E0,10,1999-10-02,5season,11,5,0.45454545454545453,1.0849190368356911,0.6629942446051632,0.23226781669702862
England,1999-00,E0,11,1999-10-16,5season,10,8,0.8,0.7833628728178667,0.44431698571205985,0.16105761582720915
England,1999-00,E0,12,1999-10-23,5season,10,3,0.3,1.149785444302983,0.7059017091986506,0.22572878897001955
England,1999-00,E0,13,1999-10-30,5season,11,7,0.6363636363636364,0.8611980346557704,0.5157530308226539,0.15866695602092787
England,1999-00,E0,14,1999-11-06,5season,10,2,0.2,1.1650529823182119,0.7087461552908207,0.2271863653691797
England,1999-00,E0,15,1999-11-20,5season,10,7,0.7,0.8592093310721716,0.48895866452116976,0.16136246888421957
England,1999-00,E0,16,1999-11-27,5season,9,5,0.5555555555555556,0.9599527977922244,0.5778796788330696,0.17639337416523693
England,1999-00,E0,17,1999-12-04,5season,10,7,0.7,0.9016483279801507,0.526255908843294,0.17998160201309127
England,1999-00,E0,18,1999-12-18,5season,11,7,0.6363636363636364,0.9171276450326205,0.5458669509740818,0.2137744892581126
England,1999-00,E0,19,1999-12-26,5season,9,3,0.3333333333333333,1.0334225691673427,0.6175636119035715,0.22076750716865798
England,1999-00,E0,20,1999-12-28,5season,10,4,0.4,1.090554174480655,0.661300596398166,0.1814265617888486
England,1999-00,E0,21,2000-01-03,5season,9,3,0.3333333333333333,1.1961899037746218,0.7233314568978914,0.22466519590328268
England,1999-00,E0,22,2000-01-15,5season,10,6,0.6,0.9779654625641243,0.5868091081496686,0.188197411760114
England,1999-00,E0,23,2000-01-22,5season,13,6,0.46153846153846156,1.0835031880350283,0.6538774669656935,0.22005268003590678
England,1999-00,E0,24,2000-02-05,5season,8,3,0.375,1.0781196489009044,0.6643385901612687,0.23793394345542723
England,1999-00,E0,25,2000-02-12,5season,12,5,0.4166666666666667,1.0168527132415375,0.602538905147923,0.24380838792408763
England,1999-00,E0,26,2000-02-26,5season,9,3,0.3333333333333333,1.1022175408432489,0.6800260665655421,0.20300446345564455
England,1999-00,E0,27,2000-03-04,5season,11,6,0.5454545454545454,1.0197905047161397,0.6266064898334205,0.17402974408942365
England,1999-00,E0,28,2000-03-11,5season,10,6,0.6,0.9083871527601479,0.5426991366701346,0.18816038108204353
England,1999-00,E0,29,2000-03-15,5season,9,6,0.6666666666666666,0.9255542236103271,0.5528915252314885,0.16390312274070076
England,1999-00,E0,30,2000-03-18,5season,10,6,0.6,0.9344859531695315,0.558926304609449,0.1962730475241145
England,1999-00,E0,31,2000-03-25,5season,10,8,0.8,0.8345271527371418,0.47819987210107995,0.19999494573332022
England,1999-00,E0,32,2000-04-01,5season,9,7,0.7777777777777778,0.8373023663124263,0.4803328455345705,0.1765933581557458
England,1999-00,E0,33,2000-04-08,5season,10,4,0.4,1.0787697215557421,0.6463619102490691,0.26204764285192417
England,1999-00,E0,34,2000-04-15,5season,11,6,0.5454545454545454,0.9621601771420853,0.5740055704688054,0.18781284487570973
England,1999-00,E0,35,2000-04-21,5season,9,5,0.5555555555555556,1.077810318271248,0.6337806820291916,0.22884289448381134
England,1999-00,E0,36,2000-04-29,5season,12,7,0.5833333333333334,0.9728109581883985,0.5711940166903096,0.19143418329503892
