Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
SP1,14/10/01,Ath Bilbao,Valladolid,1,4,A,0,2,A,,,,1.6,3.4,4.6,1.73,3.2,4.33,,,,1.73,3.2,4.33,1.66,3.3,4.5,1650.26,1638.12
SP1,14/10/01,Barcelona,Valencia,2,2,D,1,1,D,,,,1.65,3.3,4.4,1.73,3.4,4.0,,,,1.73,3.2,4.33,1.66,3.3,4.5,1770.82,1756.03
SP1,14/10/01,Celta,Betis,3,1,H,2,0,H,,,,1.7,3.2,4.2,1.67,3.25,4.5,,,,1.73,3.2,4.33,1.66,3.3,4.5,1763.6,1703.96
SP1,14/10/01,Las Palmas,Espanol,2,0,H,0,0,D,,,,2.0,2.9,3.4,2.0,3.2,3.2,,,,2.1,3.0,3.2,2.1,3.2,3.0,1626.84,1658.23
SP1,14/10/01,Osasuna,Tenerife,0,2,A,0,0,D,,,,1.8,3.1,3.8,1.83,3.2,3.75,,,,1.83,3.2,3.75,,,,1660.05,1599.06
SP1,14/10/01,Vallecano,Sociedad,2,1,H,1,1,D,,,,2.2,2.9,3.0,2.1,3.2,3.0,,,,2.0,3.2,3.2,2.0,3.3,3.1,1550.95,1601.22
SP1,14/10/01,Villarreal,Malaga,1,2,A,1,1,D,,,,1.7,3.2,4.2,1.67,3.25,4.5,,,,1.73,3.2,4.33,1.61,3.3,5.0,1706.63,1669.73
SP1,20/10/01,Betis,Villarreal,1,1,D,0,1,A,1.8,3.25,4.0,1.8,3.1,3.8,1.83,3.2,3.75,,,,1.8,3.25,3.75,1.83,3.2,3.75,1696.83,1689.44
SP1,20/10/01,La Coruna,Sevilla,1,0,H,1,0,H,1.38,3.85,7.6,1.35,4.0,7.0,1.4,3.75,7.0,,,,1.4,3.75,7.0,1.33,4.0,8.0,1811.35,1663.09
SP1,20/10/01,Las Palmas,Ath Bilbao,1,1,D,0,1,A,2.05,3.1,3.25,2.1,2.9,3.2,2.0,3.2,3.2,,,,2.0,3.2,3.2,2.0,3.1,3.3,1636.9,1633.86
SP1,20/10/01,Malaga,Barcelona,1,1,D,0,0,D,3.4,3.1,2.0,3.2,2.9,2.1,3.0,3.2,2.1,,,,3.0,3.2,2.1,3.1,3.1,2.1,1686.92,1766.83
