Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,EloHome,EloAway
G1,21/04/02,Panionios,Eth Asteras,4.0,0.0,H,1.0,0.0,H,1.4,3.8,6.0,,,,1479.45,1354.87
G1,21/04/02,PAOK,Panahaiki,3.0,2.0,H,2.0,0.0,H,,,,,,,1605.34,1375.32
G1,24/04/02,Panathinaikos,Ionikos,5.0,3.0,H,4.0,1.0,H,,,,,,,1727.16,1444.64
G1,08/05/02,AEK,PAOK,6.0,2.0,H,3.0,0.0,H,1.18,5.5,8.0,1.2,4.7,9.0,1686.09,1608.59
G1,08/05/02,Aris,Olympiakos,1.0,5.0,A,0.0,3.0,A,8.5,5.5,1.17,9.0,4.7,1.2,1458.91,1799.56
G1,08/05/02,Egaleo,Akratitos,2.0,1.0,H,1.0,0.0,H,1.75,3.25,3.65,1.8,3.1,3.4,1407.69,1400.22
G1,08/05/02,Eth Asteras,Panathinaikos,1.0,2.0,A,0.0,1.0,A,,,,,,,1349.49,1729.65
G1,08/05/02,Ionikos,Panahaiki,0.0,2.0,A,0.0,0.0,D,,,,,,,1442.15,1372.07
G1,08/05/02,Iraklis,Panionios,1.0,1.0,D,0.0,1.0,A,1.7,3.25,3.85,1.7,3.1,3.8,1505.71,1484.83
G1,08/05/02,Xanthi,OFI,2.0,1.0,H,1.0,0.0,H,,,,,,,1498.01,1487.73
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
