Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
I1,28/10/01,Udinese,Fiorentina,1,2,A,1,0,H,1.68,3.5,4.2,1.85,3.0,3.8,1.8,3.2,4.0,1.8,3.1,4.2,1.8,3.1,4.0,1.72,3.25,4.2,1652.68,1647.12
I1,03/11/01,Venezia,Chievo,0,0,D,0,0,D,2.7,3.0,2.3,2.6,2.8,2.6,,,,2.75,3.0,2.4,2.75,2.88,2.4,2.75,2.9,2.4,1607.89,1719.34
I1,04/11/01,Atalanta,Roma,1,1,D,0,0,D,3.65,3.05,1.95,3.4,2.9,2.0,3.75,3.0,1.91,3.4,3.1,2.0,3.75,3.0,1.91,3.6,2.87,2.0,1638.89,1847.65
I1,04/11/01,Bologna,Fiorentina,3,2,H,3,2,H,1.7,3.2,4.65,1.8,3.1,3.8,1.73,2.87,5.0,1.73,3.1,4.6,1.73,3.2,4.33,1.72,3.1,4.5,1697.25,1663.31
I1,04/11/01,Inter,Lecce,2,0,H,2,0,H,1.3,4.35,8.5,1.35,4.0,7.0,1.25,4.5,10.0,1.3,4.33,8.5,1.29,4.33,8.5,1.28,4.33,8.5,1761.88,1639.96
I1,04/11/01,Lazio,Brescia,5,0,H,3,0,H,1.5,3.55,6.0,1.65,3.2,4.6,1.53,3.25,6.0,1.57,3.3,5.6,1.53,3.25,6.0,1.61,3.1,5.5,1816.65,1708.85
I1,04/11/01,Parma,Perugia,2,1,H,1,0,H,1.6,3.3,5.3,1.55,3.4,5.0,1.61,3.2,5.5,1.62,3.25,5.25,1.62,3.1,5.5,1.61,3.1,5.5,1736.4,1657.11
I1,04/11/01,Piacenza,Udinese,1,2,A,0,1,A,2.2,2.9,3.15,2.1,2.9,3.2,2.2,3.2,2.8,2.2,2.88,3.2,2.2,2.8,3.2,2.2,3.0,3.0,1643.87,1636.49
I1,04/11/01,Torino,Milan,1,0,H,1,0,H,3.3,3.1,2.05,3.6,3.0,1.9,3.4,2.8,2.1,3.3,3.1,2.05,3.2,3.0,2.1,3.5,2.75,2.1,1674.73,1768.57
I1,04/11/01,Verona,Juventus,2,2,D,1,0,H,3.75,3.1,1.91,3.2,2.9,2.1,4.0,2.87,1.91,3.75,3.0,1.91,3.75,3.0,1.91,3.6,2.87,2.0,1664.58,1860.67
I1,17/11/01,Roma,Inter,0,0,D,0,0,D,1.91,3.0,3.8,2.0,2.9,3.4,,,,2.05,2.88,3.5,1.91,3.0,3.75,2.1,2.75,3.5,1843.86,1767.33
I1,18/11/01,Atalanta,Venezia,1,0,H,1,0,H,1.65,3.25,5.0,1.7,3.2,4.2,,,,1.67,3.1,5.0,1.73,3.1,4.5,1.66,3.1,5.0,1642.68,1608.3
I1,18/11/01,Fiorentina,Torino,0,0,D,0,0,D,2.02,2.9,3.4,1.9,3.0,3.6,,,,1.8,3.1,4.0,1.83,3.0,4.0,2.0,2.87,3.6,1655.4,1687.01
I1,18/11/01,Juventus,Parma,3,1,H,1,1,D,1.55,3.3,6.0,1.6,3.3,4.8,,,,1.6,3.2,5.5,1.53,3.25,6.0,1.61,3.25,5.0,1857.3,1742.97
I1,18/11/01,Lecce,Bologna,1,0,H,1,0,H,2.35,2.8,3.0,2.3,2.8,2.9,,,,2.4,2.88,2.8,2.38,2.8,2.88,2.37,2.8,2.87,1634.51,1705.16
I1,18/11/01,Milan,Piacenza,0,0,D,0,0,D,1.3,4.4,8.5,1.3,4.2,8.0,,,,1.29,4.33,8.5,1.25,4.5,10.0,1.28,4.5,8.0,1756.29,1627.63
I1,18/11/01,Perugia,Brescia,1,1,D,1,1,D,2.15,2.9,3.27,1.9,3.0,3.6,,,,2.2,2.9,3.1,2.1,2.8,3.4,2.1,2.87,3.3,1650.54,1703.05
I1,18/11/01,Udinese,Lazio,1,4,A,0,0,D,2.85,3.0,2.32,2.8,2.9,2.3,,,,2.7,2.88,2.5,2.8,2.88,2.38,2.7,2.8,2.5,1652.73,1822.45
