Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
I2,09/12/01,Cagliari,Pistoiese,2,2,D,1,1,D,1.7,2.8,5.5,1.65,2.7,4.8,,,,1.65,2.85,5.5,1441.54,1431.49
I2,09/12/01,Cittadella,Messina,0,1,A,0,0,D,2.3,2.7,3.1,2.3,2.6,2.8,,,,2.25,2.7,3.1,1418.28,1495.46
I2,09/12/01,Crotone,Siena,1,2,A,0,0,D,1.85,2.8,4.35,1.8,2.6,4.0,,,,1.85,2.8,4.2,1438.12,1427.05
I2,09/12/01,Empoli,Como,0,1,A,0,0,D,1.9,2.7,4.3,1.9,2.5,3.9,,,,1.85,2.85,4.1,1619.59,1552.52
I2,09/12/01,Napoli,Cosenza,4,2,H,2,1,H,2.0,2.75,3.8,1.9,2.6,3.7,,,,2.0,2.6,4.0,1551.16,1524.9
I2,09/12/01,Palermo,Vicenza,1,3,A,0,1,A,2.25,2.7,3.2,2.3,2.6,2.8,,,,2.3,2.65,3.1,1506.51,1548.89
I2,09/12/01,Sampdoria,Ternana,4,2,H,3,0,H,1.65,2.9,5.6,1.6,2.8,5.0,,,,1.6,2.9,6.0,1542.93,1473.76
I2,10/12/01,Modena,Genoa,0,0,D,0,0,D,1.95,2.7,4.0,1.9,2.5,3.9,,,,1.9,2.65,4.3,1542.71,1523.07
I2,14/12/01,Pistoiese,Napoli,1,1,D,1,1,D,2.58,2.65,2.75,2.6,2.6,2.5,,,,2.5,2.65,2.8,1435.32,1559.31
I2,16/12/01,Ancona,Modena,0,3,A,0,1,A,2.52,2.6,2.88,2.4,2.6,2.7,,,,2.5,2.65,2.8,1445.89,1538.57
I2,16/12/01,Como,Sampdoria,3,1,H,1,1,D,2.05,2.8,3.55,2.1,2.5,3.4,,,,2.0,2.7,3.75,1570.61,1549.78
I2,16/12/01,Cosenza,Cagliari,1,0,H,0,0,D,1.95,2.85,3.8,1.9,2.6,3.8,,,,1.9,2.75,4.0,1516.75,1437.71
I2,16/12/01,Genoa,Empoli,3,3,D,3,2,H,2.18,2.65,3.4,2.1,2.5,3.4,,,,2.1,2.6,3.6,1527.21,1601.5
I2,16/12/01,Messina,Bari,1,2,A,1,1,D,2.18,2.65,3.4,2.1,2.6,3.2,,,,2.2,2.65,3.3,1508.78,1464.23
I2,16/12/01,Salernitana,Palermo,2,1,H,0,1,A,1.78,2.85,4.6,1.8,2.6,4.1,,,,1.7,2.75,5.4,1480.99,1491.96
I2,16/12/01,Siena,Cittadella,0,1,A,0,1,A,1.8,2.8,4.6,1.8,2.6,4.1,,,,1.8,2.75,4.6,1443.42,1404.96
I2,16/12/01,Ternana,Crotone,3,2,H,1,0,H,2.0,2.85,3.6,1.9,2.6,3.8,,,,1.9,2.75,4.0,1466.91,1421.75
I2,16/12/01,Vicenza,Reggina,1,2,A,1,2,A,1.95,2.7,4.05,2.1,2.5,3.4,,,,2.0,2.65,3.85,1563.44,1589.34
I2,19/12/01,Ancona,Sampdoria,3,2,H,0,2,A,2.45,2.65,2.95,2.5,2.6,2.6,,,,2.5,2.7,2.75,1433.13,1541.46
I2,19/12/01,Como,Ternana,2,0,H,1,0,H,1.48,3.3,6.7,1.4,3.2,6.5,,,,1.45,3.4,6.5,1578.93,1474.47
I2,19/12/01,Cosenza,Modena,0,1,A,0,0,D,2.3,2.7,3.1,2.4,2.6,2.7,,,,2.3,2.7,3.0,1523.32,1551.33
I2,19/12/01,Empoli,Cagliari,2,1,H,0,0,D,1.57,3.1,6.0,1.6,2.9,4.8,,,,1.5,3.2,6.5,1602.42,1431.14
I2,19/12/01,Genoa,Cittadella,1,1,D,1,1,D,1.45,3.6,6.3,1.4,3.2,6.5,,,,1.4,3.6,7.0,1526.29,1422.19
I2,19/12/01,Messina,Siena,1,2,A,0,1,A,1.57,3.0,6.3,1.65,2.8,4.6,,,,1.7,2.75,5.5,1491.36,1426.19
I2,19/12/01,Palermo,Crotone,2,0,H,1,0,H,1.73,2.9,4.85,1.65,2.8,4.6,,,,1.7,2.75,5.5,1482.59,1414.19
I2,19/12/01,Pistoiese,Reggina,1,2,A,1,0,H,2.85,2.6,2.55,2.6,2.6,2.5,,,,2.8,2.6,2.55,1436.18,1604.47
I2,19/12/01,Vicenza,Bari,1,0,H,1,0,H,1.98,2.75,3.85,1.9,2.7,3.6,,,,2.0,2.75,3.7,1548.31,1481.65
I2,23/12/01,Bari,Salernitana,2,2,D,2,2,D,2.0,2.7,3.9,2.0,2.6,3.5,,,,2.0,2.75,3.65,1474.72,1490.36
I2,23/12/01,Cagliari,Genoa,2,1,H,1,1,D,2.4,2.7,2.95,2.4,2.6,2.7,,,,2.45,2.6,2.9,1426.8,1519.69
