Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,Unnamed: 25,Unnamed: 26,EloHome,EloAway
B1,28/11/01,Louvieroise,Beveren,3,2,H,1,1,D,1.82,3.35,3.65,1.75,3.1,3.6,1.9,3.4,3.25,1.83,3.4,3.5,,,,,,1442.75,1403.32
B1,28/11/01,Lierse,Mouscron,3,3,D,2,2,D,1.95,3.25,3.3,1.9,2.9,3.2,1.9,3.25,3.4,2.0,3.3,3.1,1.9,3.45,3.1,,,1496.23,1544.37
B1,28/11/01,Lommel,Charleroi,5,1,H,2,0,H,2.1,3.25,2.95,2.0,2.9,3.0,2.2,3.4,2.62,2.1,3.2,3.0,2.25,3.3,2.55,,,1464.43,1497.99
B1,01/12/01,Gent,Lommel,0,0,D,0,0,D,1.28,4.6,8.0,1.35,3.8,6.2,1.36,4.0,6.75,1.4,3.75,7.0,1.4,3.8,6.25,,,1655.96,1474.57
B1,01/12/01,Anderlecht,Mouscron,4,2,H,0,1,A,1.33,4.25,7.4,1.35,3.8,6.2,1.36,4.0,7.0,1.4,3.75,7.0,1.35,4.0,6.75,,,1761.26,1546.22
B1,01/12/01,Antwerp,Lokeren,1,1,D,1,0,H,2.67,3.2,2.32,2.6,3.0,2.2,2.62,3.25,2.25,2.6,3.25,2.3,2.65,3.3,2.2,,,1470.47,1651.07
B1,01/12/01,Beveren,Germinal,1,1,D,0,1,A,2.85,3.2,2.2,3.0,2.9,2.0,2.62,3.25,2.25,2.75,3.25,2.2,2.65,3.3,2.2,,,1395.58,1600.25
B1,01/12/01,Genk,St Truiden,2,2,D,0,2,A,1.4,3.9,6.6,1.45,3.5,5.0,1.4,3.8,6.5,1.4,3.75,7.0,1.4,3.8,6.25,,,1637.95,1501.74
B1,01/12/01,Louvieroise,Westerlo,3,3,D,1,1,D,2.05,3.25,3.0,2.3,2.9,2.5,2.2,3.25,2.75,2.0,3.3,3.1,,,,,,1450.49,1532.32
B1,01/12/01,Lierse,Molenbeek,1,2,A,1,1,D,1.75,3.4,3.85,1.65,3.2,3.9,1.85,3.3,3.5,1.91,3.4,3.25,1.85,3.4,3.3,,,1494.38,1481.12
B1,02/12/01,Aalst,Charleroi,1,1,D,0,1,A,2.25,3.2,2.75,2.2,3.0,2.6,2.25,3.25,2.62,2.25,3.3,2.62,2.3,3.3,2.5,,,1440.77,1487.85
B1,02/12/01,Club Brugge,Standard,1,3,A,0,2,A,1.52,3.6,5.35,1.5,3.5,5.4,1.5,3.5,5.75,1.53,3.6,5.0,1.53,3.6,5.0,,,1785.31,1649.05
