Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,LBH,LBD,LBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
SC2,20/10/01,Hamilton,Clydebank,3.0,0.0,H,0.0,0.0,D,1975.0,C. J. Melville,9.0,14.0,6.0,9.0,1.0,0.0,4.0,6.0,17.0,12.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,20.0,2.35,3.35,2.4,,,,2.25,3.6,2.5,2.37,3.5,2.37,1270.71,1207.57
SC2,20/10/01,Morton,Alloa,1.0,1.0,D,0.0,0.0,D,1247.0,C.Richmond,15.0,10.0,6.0,3.0,0.0,0.0,7.0,4.0,11.0,9.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,20.0,2.7,3.3,2.15,,,,2.88,3.6,2.0,2.75,3.5,2.1,1220.48,1262.55
SC2,20/10/01,Stranraer,Stenhousemuir,6.0,1.0,H,1.0,0.0,H,487.0,E Mack,14.0,6.0,8.0,4.0,0.0,0.0,4.0,4.0,20.0,18.0,2.0,2.0,0.0,1.0,1.0,1.0,25.0,35.0,1.9,3.4,3.15,,,,1.91,3.75,3.0,1.9,3.6,3.1,1257.6,1177.87
SC2,27/10/01,Cowdenbeath,Forfar,3.0,2.0,H,0.0,1.0,A,316.0,S.Conroy,8.0,5.0,6.0,3.0,2.0,0.0,5.0,3.0,8.0,9.0,2.0,0.0,2.0,1.0,0.0,0.0,20.0,10.0,2.2,3.4,2.65,,,,2.2,3.4,2.62,2.25,3.5,2.5,1237.59,1178.4
SC2,27/10/01,Hamilton,Berwick,0.0,1.0,A,0.0,1.0,A,2441.0,T. Brown,13.0,7.0,6.0,2.0,0.0,0.0,5.0,5.0,15.0,12.0,0.0,3.0,1.0,1.0,1.0,0.0,35.0,10.0,1.65,3.5,4.25,,,,1.67,3.6,4.0,1.61,3.6,4.33,1277.74,1174.82
SC2,27/10/01,Morton,Clydebank,0.0,2.0,A,0.0,1.0,A,1311.0,R. Orr,15.0,17.0,5.0,5.0,1.0,0.0,2.0,3.0,15.0,11.0,2.0,4.0,3.0,1.0,0.0,0.0,30.0,10.0,2.45,3.3,2.4,,,,2.38,3.5,2.38,2.5,3.5,2.25,1218.41,1200.54
SC2,27/10/01,Queen of Sth,Stranraer,1.0,0.0,H,0.0,0.0,D,3083.0,K. E. Toner,11.0,8.0,7.0,4.0,1.0,0.0,4.0,7.0,12.0,16.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,35.0,2.3,3.4,2.5,,,,2.25,3.4,2.6,2.25,3.5,2.5,1227.82,1264.15
SC2,27/10/01,Stenhousemuir,Alloa,1.0,1.0,D,1.0,0.0,H,593.0,M. Ritchie,18.0,18.0,8.0,10.0,0.0,1.0,7.0,11.0,14.0,13.0,0.0,3.0,1.0,1.0,0.0,0.0,10.0,10.0,2.65,3.4,2.2,,,,2.75,3.5,2.1,3.0,3.4,2.0,1171.32,1264.62
SC2,03/11/01,Alloa,Cowdenbeath,5.0,1.0,H,2.0,1.0,H,618.0,C. J. MacKay,11.0,9.0,9.0,7.0,0.0,0.0,10.0,4.0,9.0,18.0,2.0,3.0,1.0,1.0,0.0,0.0,10.0,10.0,1.8,3.5,3.5,,,,1.8,3.5,3.5,1.8,3.6,3.4,1264.86,1244.73
SC2,03/11/01,Berwick,Stenhousemuir,1.0,1.0,D,1.0,0.0,H,387.0,I. M. Fyfe,11.0,7.0,5.0,2.0,1.0,1.0,5.0,7.0,21.0,17.0,5.0,2.0,2.0,2.0,1.0,0.0,45.0,20.0,2.37,3.4,2.42,,,,2.38,3.5,2.38,2.37,3.5,2.37,1193.89,1171.08
SC2,03/11/01,Clydebank,Queen of Sth,3.0,0.0,H,3.0,0.0,H,300.0,W. S. G. Young,9.0,4.0,6.0,2.0,0.0,0.0,4.0,3.0,16.0,15.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,10.0,2.37,3.4,2.42,,,,2.25,3.6,2.5,2.4,3.4,2.4,1217.13,1238.05
SC2,03/11/01,Forfar,Hamilton,3.0,0.0,H,0.0,0.0,D,498.0,D. Somers,7.0,8.0,5.0,3.0,0.0,0.0,3.0,4.0,11.0,10.0,2.0,3.0,1.0,2.0,0.0,0.0,10.0,20.0,2.35,3.4,2.45,,,,2.38,3.5,2.38,2.3,3.4,2.5,1171.26,1258.67
SC2,03/11/01,Stranraer,Morton,1.0,4.0,A,0.0,1.0,A,508.0,I. G. Frickleton,18.0,15.0,8.0,9.0,0.0,0.0,12.0,6.0,9.0,10.0,4.0,2.0,1.0,1.0,0.0,0.0,10.0,10.0,1.7,3.6,3.8,,,,1.62,3.6,4.33,1.72,3.6,3.75,1253.92,1201.82
SC2,10/11/01,Berwick,Stranraer,2.0,2.0,D,1.0,1.0,D,382.0,D. G. McDonald,12.0,9.0,5.0,6.0,0.0,0.0,6.0,1.0,21.0,10.0,3.0,1.0,2.0,0.0,0.0,0.0,20.0,0.0,2.55,3.3,2.3,,,,2.6,3.5,2.2,2.5,3.5,2.25,1189.65,1236.27
SC2,10/11/01,Clydebank,Alloa,1.0,0.0,H,1.0,0.0,H,247.0,K. W. Clark,10.0,10.0,7.0,5.0,0.0,2.0,4.0,6.0,16.0,10.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,10.0,2.25,3.45,2.55,,,,2.25,3.6,2.5,2.37,3.5,2.37,1226.83,1273.2
SC2,10/11/01,Forfar,Morton,2.0,1.0,H,2.0,0.0,H,570.0,C. Hardie,6.0,10.0,3.0,3.0,0.0,0.0,2.0,5.0,11.0,9.0,6.0,3.0,2.0,3.0,0.0,0.0,20.0,30.0,2.1,3.4,2.8,,,,2.0,3.6,2.88,2.1,3.5,2.75,1183.31,1219.47
SC2,10/11/01,Hamilton,Stenhousemuir,2.0,3.0,A,0.0,1.0,A,1563.0,D. Smith,8.0,6.0,6.0,4.0,0.0,1.0,4.0,3.0,9.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,2.05,3.35,2.95,,,,2.0,3.6,2.88,2.0,3.6,2.87,1246.62,1175.32
SC2,10/11/01,Queen of Sth,Cowdenbeath,1.0,3.0,A,0.0,1.0,A,1321.0,C. Thompson,19.0,7.0,10.0,5.0,0.0,0.0,9.0,4.0,12.0,12.0,4.0,7.0,1.0,1.0,0.0,0.0,10.0,10.0,1.75,3.4,3.8,,,,1.8,3.5,3.5,1.8,3.6,3.4,1228.35,1236.39
