Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
N1,04/11/01,Graafschap,Ajax,1,1,D,0,0,D,4.0,3.5,1.7,3.6,3.1,1.75,4.0,3.5,1.7,4.0,3.4,1.73,3.8,3.5,1.7,1461.19,1702.19
N1,04/11/01,NAC Breda,Feyenoord,2,1,H,2,0,H,3.4,3.3,1.9,3.6,3.1,1.75,3.3,3.3,1.91,3.4,3.5,1.83,3.2,3.4,1.9,1557.83,1693.03
N1,04/11/01,Roda JC,Groningen,3,1,H,1,1,D,1.7,3.4,4.25,1.7,3.1,3.8,1.75,3.4,3.8,1.67,3.4,4.33,1.8,3.4,3.5,1566.06,1470.19
N1,04/11/01,Utrecht,Twente,1,1,D,0,1,A,1.7,3.4,4.2,1.8,3.0,3.5,1.62,3.5,4.5,1.67,3.4,4.33,1.6,3.5,4.5,1617.72,1528.06
N1,16/11/01,Heerenveen,Sparta,3,0,H,2,0,H,1.35,4.2,7.0,1.4,3.6,5.5,1.36,4.0,7.0,,,,1.35,4.0,7.0,1621.47,1430.86
N1,17/11/01,AZ Alkmaar,Waalwijk,0,1,A,0,0,D,1.85,3.3,3.6,1.9,2.9,3.2,1.8,3.4,3.6,1.8,3.4,3.6,1.8,3.4,3.5,1491.2,1563.61
N1,17/11/01,Den Bosch,Twente,1,3,A,0,1,A,2.2,3.1,2.9,2.3,2.9,2.5,2.2,3.25,2.75,2.0,3.2,3.2,2.1,3.2,2.9,1491.8,1534.28
N1,17/11/01,Feyenoord,Vitesse,3,2,H,2,1,H,1.6,3.6,4.6,1.7,3.1,3.8,1.6,3.4,4.8,1.62,3.5,4.5,1.65,3.4,4.25,1679.27,1679.52
N1,17/11/01,PSV Eindhoven,Nijmegen,3,1,H,1,1,D,1.32,4.3,7.6,1.3,4.0,7.0,1.4,3.75,7.0,1.36,4.0,7.0,1.4,3.75,6.5,1755.17,1510.93
N1,17/11/01,Willem II,Roda JC,1,1,D,0,0,D,1.8,3.3,3.8,1.75,3.1,3.6,1.73,3.4,4.0,1.73,3.4,4.0,1.7,3.35,4.0,1590.63,1572.18
N1,18/11/01,Ajax,NAC Breda,1,3,A,1,1,D,1.25,4.8,8.7,1.35,3.8,6.2,1.29,4.5,8.0,1.36,4.0,7.0,1.35,4.0,7.0,1697.38,1571.59
N1,18/11/01,Groningen,For Sittard,4,2,H,2,2,D,1.7,3.35,4.25,1.8,3.0,3.5,1.73,3.25,4.2,1.73,3.4,4.0,1.7,3.35,4.0,1464.07,1451.35
N1,18/11/01,Utrecht,Graafschap,6,0,H,3,0,H,1.57,3.6,4.85,1.65,3.2,3.9,1.57,3.5,5.0,1.62,3.5,4.5,1.55,3.55,4.75,1611.5,1466.0
N1,23/11/01,AZ Alkmaar,Den Bosch,3,2,H,2,2,D,1.7,3.3,4.25,1.7,3.1,3.8,1.67,3.3,4.5,,,,1.65,3.25,4.5,1477.71,1477.25
N1,24/11/01,Graafschap,Sparta,3,0,H,1,0,H,1.8,3.25,3.9,2.0,3.0,2.9,1.8,3.3,3.75,,,,1.7,3.4,4.0,1461.11,1426.91
N1,24/11/01,For Sittard,Waalwijk,1,4,A,0,3,A,2.45,3.2,2.5,2.6,3.0,2.2,2.5,3.25,2.4,,,,2.35,3.25,2.5,1442.77,1577.1
N1,24/11/01,NAC Breda,Groningen,5,0,H,2,0,H,1.55,3.6,5.0,1.6,3.2,4.2,1.57,3.5,5.0,,,,1.55,3.6,4.75,1591.23,1472.65
N1,24/11/01,Twente,Heerenveen,0,0,D,0,0,D,2.3,3.2,2.7,2.2,2.9,2.7,2.38,3.25,2.5,,,,2.35,3.25,2.5,1548.83,1625.42
N1,24/11/01,Vitesse,Roda JC,2,0,H,1,0,H,1.5,3.6,5.6,1.4,3.6,5.5,1.57,3.5,5.0,,,,1.55,3.4,5.0,1670.51,1576.28
N1,25/11/01,Ajax,PSV Eindhoven,1,3,A,0,2,A,2.05,3.2,3.1,2.2,3.0,2.9,2.0,3.2,3.2,,,,2.0,3.3,3.1,1677.74,1758.2
N1,25/11/01,Feyenoord,Willem II,3,1,H,1,0,H,1.4,4.0,6.5,1.35,3.8,6.2,1.44,3.6,6.5,,,,1.4,3.75,6.5,1688.28,1586.53
N1,25/11/01,Nijmegen,Utrecht,0,3,A,0,0,D,2.0,3.2,3.2,2.2,3.0,2.6,2.0,3.2,3.2,,,,1.95,3.25,3.2,1507.9,1616.39
N1,27/11/01,Den Bosch,Graafschap,3,1,H,1,1,D,2.0,3.2,3.2,1.9,2.9,3.2,2.0,3.3,3.1,,,,1.95,3.25,3.2,1468.27,1469.01
N1,27/11/01,Groningen,AZ Alkmaar,0,1,A,0,0,D,1.92,3.3,3.35,1.9,3.0,3.1,1.91,3.4,3.25,,,,1.9,3.4,3.2,1467.12,1486.69
N1,28/11/01,Ajax,Twente,3,2,H,0,2,A,1.34,4.15,7.1,1.35,4.0,7.0,1.4,3.75,7.0,1.33,4.33,7.0,1.35,4.0,7.0,1664.54,1547.99
N1,28/11/01,Nijmegen,NAC Breda,1,3,A,0,0,D,2.35,3.2,2.6,2.3,3.0,2.4,2.4,3.25,2.5,2.25,3.4,2.6,2.25,3.3,2.6,1495.71,1596.76
N1,28/11/01,Waalwijk,Feyenoord,2,3,A,0,2,A,3.05,3.25,2.05,3.3,3.0,1.85,3.0,3.4,2.0,3.0,3.4,2.0,2.9,3.2,2.1,1588.37,1694.24
N1,28/11/01,Roda JC,For Sittard,1,0,H,0,0,D,1.5,3.75,5.4,1.55,3.3,4.5,1.53,3.5,5.2,1.53,3.4,5.5,1.5,3.7,5.0,1570.12,1431.5
N1,28/11/01,Sparta,Willem II,3,2,H,1,2,A,2.5,3.2,2.45,2.35,3.0,2.35,2.5,3.25,2.4,2.38,3.25,2.5,2.35,3.3,2.45,1419.01,1580.57
N1,28/11/01,Utrecht,PSV Eindhoven,3,3,D,1,1,D,2.75,3.3,2.2,2.35,3.0,2.35,2.62,3.2,2.3,2.7,3.3,2.2,2.6,3.3,2.25,1628.58,1771.4
N1,30/11/01,Graafschap,Groningen,1,2,A,0,1,A,1.75,3.5,3.8,1.8,3.0,3.5,1.75,3.4,3.8,1.67,3.4,4.33,1.7,3.5,3.8,1459.99,1451.78
N1,01/12/01,Heerenveen,Feyenoord,1,0,H,0,0,D,2.42,3.3,2.47,2.4,2.9,2.4,2.4,3.25,2.5,2.5,3.2,2.4,2.3,3.25,2.62,1626.26,1706.53
N1,01/12/01,PSV Eindhoven,AZ Alkmaar,3,0,H,1,0,H,1.25,4.8,8.7,1.25,4.3,8.0,1.33,4.33,7.0,1.36,4.0,7.0,1.35,4.2,6.5,1769.87,1502.03
N1,01/12/01,Waalwijk,Roda JC,3,0,H,1,0,H,1.75,3.5,3.8,1.75,3.1,3.6,1.8,3.3,3.75,1.73,3.4,4.0,1.7,3.6,3.75,1576.08,1575.17
N1,01/12/01,Twente,For Sittard,1,1,D,1,0,H,1.5,3.7,5.5,1.45,3.5,5.0,1.53,3.5,5.25,1.5,3.8,5.0,1.5,3.7,5.0,1542.41,1426.45
N1,02/12/01,Sparta,Nijmegen,0,0,D,0,0,D,2.1,3.3,2.9,2.0,3.0,2.9,2.2,3.2,2.8,2.1,3.4,2.8,2.1,3.4,2.75,1433.7,1483.25
N1,02/12/01,Utrecht,Vitesse,3,1,H,1,1,D,2.0,3.3,3.2,2.2,2.9,2.7,2.1,3.2,3.0,2.0,3.4,3.0,1.9,3.3,3.3,1630.11,1676.67
N1,02/12/01,Willem II,NAC Breda,2,2,D,1,0,H,2.0,3.3,3.15,2.1,3.0,2.8,2.1,3.25,2.9,2.25,3.2,2.7,2.1,3.4,2.75,1565.88,1609.22
N1,04/12/01,Ajax,For Sittard,4,0,H,2,0,H,1.15,5.65,11.5,1.2,4.7,9.0,1.2,5.2,10.0,,,,1.2,5.25,9.0,1670.12,1433.35
N1,07/12/01,For Sittard,Den Bosch,1,3,A,0,1,A,2.1,3.3,2.9,2.1,2.9,2.9,2.2,3.2,2.8,,,,2.1,3.2,2.9,1430.2,1477.29
N1,07/12/01,Vitesse,Graafschap,2,1,H,0,0,D,1.4,3.9,6.5,1.3,4.0,7.0,1.4,3.75,7.0,1.4,4.0,6.5,1.35,3.8,7.5,1666.08,1443.72
N1,08/12/01,AZ Alkmaar,Roda JC,1,2,A,1,1,D,1.85,3.25,3.65,2.0,2.9,3.0,1.91,3.25,3.4,1.8,3.4,3.6,1.8,3.4,3.5,1499.34,1566.2
N1,08/12/01,NAC Breda,Waalwijk,0,1,A,0,0,D,1.7,3.4,4.15,1.8,3.0,3.5,1.73,3.25,4.2,1.8,3.4,3.6,1.75,3.5,3.6,1611.24,1585.05
N1,08/12/01,Willem II,Heerenveen,2,2,D,1,0,H,2.35,3.1,2.65,2.3,2.9,2.5,2.3,3.2,2.62,2.4,3.2,2.5,2.3,3.3,2.5,1563.86,1638.05
N1,09/12/01,Feyenoord,Nijmegen,5,0,H,2,0,H,1.25,4.8,9.0,1.2,4.7,9.0,1.25,4.6,9.0,1.25,4.5,10.0,1.25,4.5,9.0,1694.74,1485.05
