Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
P1,25/11/01,Gil Vicente,Porto,2,5,A,0,3,A,3.5,3.1,1.95,3.5,3.0,1.8,3.2,3.2,2.0,,,,3.1,3.2,2.0,1460.36,1670.59
P1,25/11/01,Pacos Ferreira,Maritimo,2,1,H,0,0,D,2.6,3.0,2.5,2.4,2.9,2.4,2.5,3.25,2.4,,,,2.25,3.2,2.65,1414.62,1455.64
P1,25/11/01,Santa Clara,Varzim,1,0,H,1,0,H,1.8,3.2,4.0,1.7,3.1,3.8,1.8,3.3,3.75,,,,1.75,3.4,3.7,1376.97,1377.76
P1,25/11/01,Farense,Beira Mar,1,0,H,1,0,H,2.3,3.0,2.85,2.2,2.9,2.7,2.2,3.2,2.8,,,,2.2,3.2,2.7,1373.83,1475.27
P1,25/11/01,Leiria,Belenenses,3,0,H,1,0,H,2.1,3.15,3.1,2.4,2.9,2.4,2.1,3.2,3.0,,,,2.0,3.2,3.1,1527.98,1472.5
P1,26/11/01,Sp Lisbon,Boavista,2,0,H,1,0,H,2.08,3.15,3.1,2.0,3.1,3.2,2.1,3.2,3.0,,,,2.0,3.0,3.4,1584.19,1659.67
P1,30/11/01,Porto,Farense,2,0,H,2,0,H,1.23,4.85,9.7,1.15,5.5,11.0,1.25,4.6,9.0,1.25,4.5,10.0,1.25,4.4,9.0,1679.25,1386.38
P1,01/12/01,Maritimo,Sp Lisbon,0,2,A,0,0,D,2.57,3.1,2.42,3.1,3.0,2.1,2.6,3.1,2.38,2.6,3.1,2.38,2.6,3.15,2.3,1445.24,1595.81
P1,01/12/01,Salgueiros,Boavista,1,1,D,0,1,A,3.65,3.2,1.87,4.0,3.1,1.65,3.6,3.25,1.85,3.75,3.25,1.8,3.4,3.15,1.9,1387.31,1648.05
P1,02/12/01,Alverca,Leiria,1,1,D,0,0,D,2.25,3.1,2.85,2.3,2.9,2.5,2.2,3.2,2.8,2.2,3.2,2.8,2.2,3.15,2.75,1400.29,1535.23
P1,02/12/01,Beira Mar,Guimaraes,0,0,D,0,0,D,2.0,3.1,3.35,2.0,2.9,3.0,1.95,3.2,3.3,1.91,3.2,3.5,1.9,3.2,3.35,1462.72,1437.82
P1,02/12/01,Belenenses,Gil Vicente,1,0,H,0,0,D,1.7,3.3,4.3,1.65,3.1,4.0,1.73,3.4,4.0,1.8,3.25,3.75,1.75,3.2,3.9,1465.25,1451.7
P1,02/12/01,Benfica,Santa Clara,2,1,H,2,1,H,1.25,4.75,8.9,1.25,4.3,8.0,1.25,4.6,9.0,1.2,5.0,11.0,1.25,4.4,9.0,1568.42,1385.99
P1,02/12/01,Varzim,Pacos Ferreira,0,3,A,0,2,A,2.0,3.2,3.3,2.2,2.9,2.7,1.91,3.25,3.4,2.0,3.1,3.3,1.9,3.2,3.35,1368.74,1425.02
P1,03/12/01,Setubal,Sp Braga,0,0,D,0,0,D,2.0,3.1,3.35,2.0,3.0,3.3,2.05,3.2,3.1,1.91,3.2,3.5,1.9,3.2,3.35,1408.91,1474.08
P1,07/12/01,Farense,Belenenses,2,2,D,0,0,D,2.35,3.0,2.75,2.3,3.0,2.7,2.38,3.1,2.62,,,,2.3,3.15,2.6,1384.02,1473.8
P1,08/12/01,Pacos Ferreira,Benfica,2,1,H,2,1,H,3.7,3.2,1.85,3.2,2.9,2.1,3.6,3.3,1.83,3.5,3.2,1.91,3.1,3.2,2.0,1439.08,1572.53
P1,08/12/01,Sp Braga,Beira Mar,3,2,H,1,1,D,1.8,3.2,3.95,1.75,3.1,3.6,1.83,3.2,3.75,1.8,3.1,4.0,1.7,3.35,4.0,1475.33,1458.41
P1,08/12/01,Guimaraes,Porto,2,0,H,2,0,H,3.2,3.1,2.05,3.3,3.0,2.0,3.0,3.2,2.1,3.0,3.2,2.1,2.9,3.2,2.1,1442.13,1681.61
P1,09/12/01,Boavista,Maritimo,0,1,A,0,1,A,1.37,4.1,6.75,1.3,4.2,8.0,1.44,3.6,6.5,1.4,3.75,7.0,1.4,4.0,5.8,1642.65,1434.55
P1,09/12/01,Santa Clara,Setubal,1,0,H,1,0,H,2.05,3.1,3.2,2.0,2.9,3.0,2.0,3.2,3.2,2.1,3.1,3.1,1.9,3.3,3.25,1381.88,1407.66
P1,09/12/01,Sp Lisbon,Varzim,4,0,H,4,0,H,1.15,6.0,11.5,1.15,5.5,11.0,1.17,5.5,11.0,1.2,5.5,9.0,1.2,5.5,8.5,1606.5,1354.68
P1,09/12/01,Leiria,Salgueiros,7,0,H,3,0,H,1.7,3.3,4.4,1.65,3.2,3.9,1.67,3.3,4.5,1.67,3.25,4.5,1.6,3.35,4.7,1533.98,1392.71
P1,15/12/01,Alverca,Farense,1,0,H,1,0,H,1.9,3.2,3.55,2.1,2.9,2.9,1.83,3.2,3.75,2.0,3.1,3.3,1.85,3.3,3.4,1401.54,1383.65
P1,15/12/01,Beira Mar,Santa Clara,0,1,A,0,0,D,1.7,3.3,4.35,1.7,3.1,3.8,1.7,3.25,4.33,1.67,3.25,4.5,1.7,3.35,4.0,1449.96,1391.75
P1,15/12/01,Belenenses,Guimaraes,2,1,H,2,0,H,2.05,3.1,3.2,2.1,2.9,2.9,2.0,3.2,3.2,2.0,3.2,3.2,2.0,3.3,3.0,1474.17,1459.39
P1,15/12/01,Porto,Sp Braga,0,0,D,0,0,D,1.25,4.5,10.0,1.25,4.5,9.0,1.3,4.33,8.0,1.36,4.0,7.0,1.35,4.0,7.0,1664.35,1483.78
