Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,EloHome,EloAway
F2,28/11/01,St Etienne,Nancy,1,3,A,1,2,A,1.8,3.0,4.25,1.8,2.8,3.7,1.8,3.0,4.33,1529.37,1505.61
F2,28/11/01,Wasquehal,Beauvais,3,2,H,0,0,D,2.85,2.7,2.42,2.8,2.6,2.3,2.88,2.75,2.4,1429.05,1541.45
F2,07/12/01,Beauvais,Ajaccio,0,0,D,0,0,D,2.0,2.85,3.7,2.0,2.8,3.1,2.0,2.8,3.75,1528.5,1542.76
F2,08/12/01,Caen,Le Mans,2,0,H,1,0,H,1.85,2.9,4.1,1.8,2.8,3.7,1.83,3.0,4.0,1472.79,1482.22
F2,08/12/01,Chateauroux,St Etienne,4,0,H,2,0,H,2.3,2.75,3.05,2.3,2.8,2.6,2.3,2.8,3.0,1486.68,1512.6
F2,08/12/01,Creteil,Grenoble,1,1,D,1,0,H,2.2,2.7,3.3,2.2,2.8,2.8,2.1,2.8,3.4,1398.37,1443.85
F2,08/12/01,Istres,Nice,0,1,A,0,1,A,2.25,2.7,3.2,2.3,2.7,2.7,2.25,2.8,3.1,1446.9,1458.31
F2,08/12/01,Laval,Le Havre,1,1,D,1,0,H,2.45,2.7,2.85,2.3,2.8,2.6,2.3,2.88,2.88,1458.27,1567.21
F2,08/12/01,Nancy,Wasquehal,0,1,A,0,0,D,1.63,3.1,5.2,1.6,3.1,4.4,1.57,3.25,5.5,1522.38,1442.0
F2,08/12/01,Nimes,Amiens,1,1,D,0,1,A,2.55,2.65,2.8,2.4,2.6,2.7,2.38,2.62,3.1,1433.31,1465.48
F2,08/12/01,Niort,Gueugnon,1,1,D,1,0,H,2.45,2.7,2.85,2.4,2.6,2.7,2.2,2.7,3.25,1476.72,1506.12
F2,08/12/01,Strasbourg,Martigues,1,0,H,0,0,D,1.33,4.0,8.0,1.3,4.0,7.0,1.3,4.0,10.0,1571.72,1393.93
F2,19/12/01,Ajaccio,Chateauroux,0,1,A,0,0,D,1.65,3.15,4.85,1.7,2.9,4.0,1.67,3.1,5.0,1545.78,1496.55
F2,19/12/01,Amiens,Nancy,1,1,D,0,0,D,2.1,2.7,3.55,2.1,2.7,3.1,2.2,2.8,3.2,1467.89,1503.92
F2,19/12/01,Gueugnon,Beauvais,0,0,D,0,0,D,2.3,2.65,3.15,2.3,2.6,2.8,2.38,2.62,3.1,1508.63,1525.48
F2,19/12/01,Istres,Laval,2,2,D,0,1,A,2.35,2.75,2.95,2.4,2.7,2.6,2.38,2.8,2.9,1431.28,1458.59
F2,19/12/01,Le Havre,Niort,2,0,H,2,0,H,1.6,3.2,5.3,1.55,3.1,4.8,1.57,3.2,5.5,1566.89,1474.21
F2,19/12/01,Le Mans,Grenoble,2,0,H,0,0,D,1.77,3.0,4.35,1.75,2.9,3.8,1.8,3.0,4.0,1472.91,1445.8
F2,19/12/01,Martigues,Nimes,2,0,H,0,0,D,2.1,2.7,3.55,1.9,2.8,3.4,2.1,2.75,3.4,1389.73,1430.9
F2,19/12/01,Nice,Strasbourg,2,1,H,1,1,D,2.45,2.7,2.85,2.5,2.6,2.6,2.4,2.75,2.8,1473.93,1575.92
F2,19/12/01,Wasquehal,Caen,2,0,H,0,0,D,2.35,2.7,3.0,2.2,2.7,2.9,2.5,2.75,2.75,1460.46,1482.1
F2,22/12/01,Beauvais,Martigues,2,0,H,2,0,H,1.5,3.4,6.0,1.45,3.3,5.5,1.5,3.25,6.5,1528.42,1400.13
F2,22/12/01,Caen,Ajaccio,1,1,D,0,0,D,2.2,2.8,3.15,2.2,2.8,3.0,2.2,2.75,3.25,1472.37,1528.22
F2,22/12/01,Grenoble,Amiens,4,0,H,1,0,H,2.3,2.8,3.0,2.3,2.7,2.7,2.3,2.7,3.1,1437.68,1465.61
