Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,EloHome,EloAway
F1,14/10/01,Paris SG,Lyon,2,2,D,1,2,A,,,,2.1,2.8,3.3,,,,,,,2.25,3.0,2.88,2.1,2.87,3.3,1675.56,1824.56
F1,20/10/01,Bastia,Rennes,1,2,A,0,0,D,1.85,3.1,4.0,1.85,3.1,3.6,1.8,3.25,3.75,,,,,,,1.8,3.1,4.0,1640.57,1645.89
F1,20/10/01,Guingamp,Monaco,2,1,H,1,0,H,2.3,3.0,2.9,2.5,2.8,2.7,2.4,3.25,2.5,,,,,,,2.37,2.87,2.8,1640.78,1662.84
F1,20/10/01,Lens,Montpellier,2,0,H,1,0,H,1.5,3.45,6.25,1.5,3.5,5.4,1.44,3.4,7.0,,,,,,,1.5,3.3,6.5,1715.59,1615.48
F1,20/10/01,Lyon,Sochaux,1,1,D,0,1,A,1.55,3.45,5.55,1.55,3.4,5.0,1.57,3.25,5.5,,,,,,,1.57,3.3,5.5,1822.81,1720.82
F1,20/10/01,Marseille,Lille,0,0,D,0,0,D,2.45,2.9,2.75,2.3,2.8,2.9,2.5,2.87,2.62,,,,,,,2.3,2.8,3.0,1646.11,1805.94
F1,20/10/01,Nantes,Auxerre,2,2,D,0,0,D,2.4,3.0,2.75,2.2,2.9,3.0,2.5,3.2,2.5,,,,,,,2.3,3.0,2.8,1696.26,1671.28
F1,21/10/01,Bordeaux,Metz,1,0,H,0,0,D,1.6,3.3,5.3,1.5,3.5,5.4,1.61,3.25,5.0,,,,,,,1.57,3.3,5.5,1753.97,1642.04
F1,21/10/01,Sedan,Paris SG,1,2,A,0,0,D,2.6,2.8,2.7,2.6,2.8,2.6,3.2,3.0,2.1,,,,,,,2.62,2.75,2.62,1661.96,1677.31
F1,21/10/01,Troyes,Lorient,4,2,H,1,2,A,1.85,3.2,3.8,1.8,3.1,3.8,1.8,3.2,4.0,,,,,,,1.8,3.1,4.0,1675.99,1653.91
F1,26/10/01,Auxerre,Marseille,2,0,H,2,0,H,1.77,3.15,4.25,1.8,3.1,3.8,1.73,3.0,4.5,1.8,3.1,4.0,,,,1.83,3.0,4.0,1675.59,1648.24
F1,27/10/01,Bordeaux,Sedan,2,1,H,0,1,A,1.55,3.35,5.75,1.5,3.5,5.4,1.44,3.5,7.0,1.5,3.6,5.5,,,,1.53,3.25,6.0,1759.67,1646.47
F1,27/10/01,Lille,Metz,2,0,H,2,0,H,1.5,3.5,6.1,1.55,3.4,5.0,1.61,3.25,5.0,1.53,3.4,5.5,,,,1.5,3.4,6.0,1803.81,1636.34
F1,27/10/01,Lorient,Guingamp,6,2,H,2,1,H,2.05,3.0,3.4,1.9,3.0,3.6,2.37,3.0,2.75,2.1,3.0,3.2,,,,2.1,2.87,3.3,1645.63,1650.52
F1,27/10/01,Monaco,Lyon,2,1,H,0,0,D,2.38,2.95,2.8,2.2,2.8,3.1,2.5,3.2,2.5,2.4,3.0,2.7,,,,2.5,2.8,2.75,1653.1,1816.26
F1,27/10/01,Montpellier,Troyes,2,0,H,1,0,H,2.35,2.9,2.88,2.3,2.8,2.9,2.5,2.87,2.62,2.4,3.0,2.7,,,,2.5,2.8,2.75,1609.48,1684.27
F1,27/10/01,Paris SG,Bastia,1,0,H,1,0,H,1.62,3.3,5.1,1.5,3.5,5.4,1.44,3.6,6.5,1.62,3.3,5.0,,,,1.57,3.3,5.5,1692.8,1624.75
F1,27/10/01,Rennes,Lens,1,2,A,1,2,A,2.47,2.9,2.72,2.5,2.8,2.7,2.5,3.2,2.5,2.4,3.1,2.6,,,,2.37,3.0,2.7,1661.71,1721.59
F1,27/10/01,Sochaux,Nantes,0,1,A,0,0,D,1.85,3.1,3.95,2.0,2.9,3.4,1.8,3.2,4.0,1.8,3.25,3.8,,,,1.72,3.25,4.2,1727.37,1691.95
F1,03/11/01,Bastia,Lorient,3,1,H,0,1,A,1.85,3.15,3.9,1.8,3.1,3.8,1.83,3.2,3.75,1.9,3.1,3.75,1.91,3.0,3.75,1.83,3.0,4.0,1617.86,1654.79
F1,03/11/01,Guingamp,Sochaux,0,0,D,0,0,D,2.1,3.0,3.25,2.0,2.9,3.4,2.1,3.2,3.0,2.05,3.0,3.4,2.1,3.1,3.1,1.9,3.0,3.75,1641.36,1710.23
