Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
B1,02/12/00,Lierse,Germinal,1,1,D,1,0,H,1.75,3.3,4.0,1.7,3.2,3.6,1.73,3.3,4.0,1.7,3.5,3.75,1567.3,1548.22
B1,02/12/00,Mouscron,Lokeren,2,1,H,0,1,A,1.6,3.2,5.2,1.5,3.4,4.7,1.6,3.5,4.5,1.55,3.75,4.4,1624.88,1564.61
B1,03/12/00,Beveren,St Truiden,0,0,D,0,0,D,1.85,3.2,3.8,1.9,3.0,3.1,1.83,3.4,3.4,1.85,3.4,3.3,1471.96,1473.05
B1,03/12/00,Harelbeke,Westerlo,0,4,A,0,1,A,2.65,3.4,2.2,2.8,3.0,2.1,2.7,3.25,2.2,2.95,3.35,2.0,1406.71,1601.6
B1,08/12/00,Standard,Mouscron,3,3,D,0,1,A,1.7,3.6,4.0,1.75,3.1,3.6,1.62,3.4,4.5,1.6,3.5,4.4,1617.16,1631.99
B1,09/12/00,Germinal,Genk,5,1,H,1,1,D,1.9,3.1,3.6,1.85,3.0,3.3,1.83,3.5,3.3,1.85,3.5,3.2,1552.34,1562.29
B1,09/12/00,Mechelen,Anderlecht,0,2,A,0,1,A,6.0,3.8,1.45,4.7,3.4,1.5,5.25,3.6,1.5,4.75,3.8,1.5,1428.98,1789.22
B1,09/12/00,Louvieroise,Gent,1,1,D,0,0,D,3.2,3.5,1.9,3.5,3.0,1.8,3.25,3.3,1.91,3.1,3.45,1.9,1421.14,1631.32
B1,09/12/00,St Truiden,Charleroi,1,3,A,1,2,A,2.5,3.2,2.45,2.35,3.0,2.35,2.38,3.2,2.5,2.35,3.35,2.4,1476.52,1487.36
B1,09/12/00,Westerlo,Beveren,1,2,A,0,2,A,1.6,3.6,4.6,1.5,3.4,4.7,1.53,3.6,5.0,1.5,3.8,4.8,1610.77,1468.49
B1,10/12/00,Aalst,Antwerp,0,4,A,0,2,A,2.0,3.1,3.4,2.0,3.0,2.9,1.91,3.25,3.3,2.0,3.4,2.9,1433.69,1484.55
B1,10/12/00,Club Brugge,Lierse,1,0,H,1,0,H,1.25,4.8,9.0,1.25,4.3,8.0,1.25,4.75,8.0,1.3,4.4,7.0,1776.06,1563.18
B1,10/12/00,Harelbeke,Lokeren,1,6,A,1,2,A,2.7,3.2,2.3,2.8,3.0,2.1,2.63,3.25,2.25,2.55,3.3,2.25,1397.54,1557.5
B1,15/12/00,Charleroi,Westerlo,2,2,D,0,1,A,1.9,3.2,3.6,1.8,3.0,3.5,1.8,3.5,3.4,1.8,3.5,3.35,1503.0,1590.74
B1,16/12/00,Gent,Germinal,3,1,H,2,1,H,1.65,3.3,4.6,1.65,3.2,3.9,1.62,3.5,4.33,1.6,3.6,4.25,1627.48,1561.67
B1,16/12/00,Anderlecht,Aalst,3,0,H,2,0,H,1.15,6.0,11.0,1.1,7.0,14.0,1.14,6.0,11.0,1.1,6.8,12.0,1793.79,1419.43
B1,16/12/00,Antwerp,St Truiden,2,0,H,0,0,D,1.85,3.2,3.6,1.8,3.0,3.5,1.75,3.4,3.75,1.7,3.5,3.8,1498.81,1460.88
B1,16/12/00,Beveren,Harelbeke,2,1,H,0,0,D,1.45,3.7,6.0,1.45,3.5,5.0,1.44,3.6,6.0,1.5,3.8,4.8,1488.52,1387.18
B1,16/12/00,Lierse,Mechelen,1,1,D,1,1,D,1.4,3.8,6.8,1.3,4.0,7.0,1.44,3.6,6.0,1.45,3.6,5.8,1559.64,1424.41
