Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
P1,18/11/00,Guimaraes,Benfica,0,4,A,0,1,A,2.6,3.4,2.2,2.4,2.9,2.4,2.63,3.0,2.4,2.7,2.85,2.4,1430.77,1583.33
P1,19/11/00,Alverca,Est Amadora,3,1,H,2,1,H,1.75,3.25,4.1,1.6,3.2,4.2,1.65,3.4,4.33,1.6,3.5,4.4,1372.79,1376.86
P1,19/11/00,Aves,Porto,0,1,A,0,0,D,5.8,3.4,1.5,5.0,3.5,1.45,5.0,3.5,1.53,4.5,3.65,1.55,1363.95,1697.63
P1,19/11/00,Campomaiorense,Sp Braga,1,1,D,1,0,H,2.7,3.4,2.2,2.7,2.9,2.2,2.9,3.0,2.2,3.0,3.0,2.1,1368.64,1506.23
P1,19/11/00,Gil Vicente,Leiria,2,0,H,0,0,D,2.4,3.2,2.5,2.2,2.9,2.7,2.4,3.0,2.6,2.45,2.85,2.65,1397.09,1460.95
P1,19/11/00,Maritimo,Pacos Ferreira,1,1,D,1,0,H,1.7,3.4,4.1,1.65,3.1,4.0,1.67,3.2,4.5,1.65,3.2,4.5,1475.64,1424.8
P1,19/11/00,Salgueiros,Beira Mar,0,1,A,0,0,D,1.45,3.6,6.0,1.45,3.5,5.0,1.44,3.5,6.25,1.45,3.5,6.0,1431.79,1370.34
P1,19/11/00,Sp Lisbon,Boavista,0,0,D,0,0,D,1.55,3.4,5.2,1.45,3.5,5.0,1.57,3.3,5.0,1.61,3.25,5.0,1662.16,1558.85
P1,01/12/00,Belenenses,Guimaraes,1,0,H,1,0,H,1.65,3.4,4.5,1.6,3.2,4.2,1.62,3.25,4.75,1.65,3.1,4.8,1452.06,1420.15
P1,02/12/00,Beira Mar,Aves,1,0,H,1,0,H,1.8,3.2,4.0,1.7,3.1,3.8,1.62,3.4,4.5,1.6,3.4,4.6,1388.26,1358.78
P1,02/12/00,Sp Braga,Porto,2,1,H,2,0,H,3.2,3.0,2.1,2.9,2.9,2.1,2.9,3.0,2.2,3.25,2.9,2.1,1504.88,1702.8
P1,03/12/00,Boavista,Alverca,5,1,H,4,0,H,1.3,4.4,8.0,1.3,4.0,7.0,1.3,4.33,7.5,1.3,4.1,8.0,1565.43,1381.92
P1,03/12/00,Campomaiorense,Maritimo,2,2,D,1,0,H,2.35,3.0,2.75,2.3,2.9,2.5,2.2,3.0,2.9,2.15,2.9,3.05,1369.99,1470.53
P1,03/12/00,Est Amadora,Gil Vicente,2,1,H,1,0,H,2.05,2.8,3.6,1.9,2.9,3.2,2.0,3.1,3.2,1.9,3.15,3.4,1367.73,1408.29
P1,03/12/00,Pacos Ferreira,Farense,1,1,D,0,0,D,1.95,3.0,3.65,1.8,3.0,3.5,1.83,3.1,3.75,1.8,3.2,3.7,1429.91,1429.89
P1,03/12/00,Benfica,Sp Lisbon,3,0,H,1,0,H,2.35,3.0,2.8,2.4,2.9,2.4,2.25,3.0,2.88,2.25,2.87,3.0,1593.95,1655.58
P1,03/12/00,Leiria,Salgueiros,2,1,H,1,1,D,2.1,2.75,3.6,2.2,2.9,2.7,1.95,3.1,3.3,1.95,3.1,3.3,1449.75,1413.87
P1,08/12/00,Gil Vicente,Boavista,0,2,A,0,1,A,3.8,3.15,1.85,3.2,2.9,1.9,4.0,3.1,1.8,4.2,2.9,1.8,1397.91,1569.52
P1,09/12/00,Sp Lisbon,Belenenses,2,1,H,0,0,D,1.47,3.55,6.3,1.5,3.4,4.7,1.44,3.6,6.0,1.45,3.55,6.0,1644.45,1460.03
P1,09/12/00,Guimaraes,Pacos Ferreira,0,1,A,0,0,D,2.0,3.1,3.45,1.65,3.2,3.8,2.0,3.2,3.1,2.05,3.0,3.15,1412.18,1426.41
P1,10/12/00,Alverca,Benfica,2,1,H,1,1,D,3.8,3.2,1.85,3.6,3.2,1.7,3.75,3.2,1.8,3.6,3.0,1.9,1377.83,1605.08
P1,10/12/00,Aves,Leiria,1,1,D,0,0,D,2.1,2.95,3.25,2.0,2.9,3.0,2.1,3.0,3.1,2.15,3.0,2.95,1350.73,1457.6
P1,10/12/00,Maritimo,Sp Braga,2,0,H,2,0,H,2.2,3.1,2.9,2.2,2.9,2.7,2.2,3.1,2.8,2.1,3.0,3.05,1470.51,1520.81
P1,10/12/00,Salgueiros,Est Amadora,1,0,H,0,0,D,1.4,4.0,6.7,1.4,3.6,5.5,1.36,3.8,7.0,1.45,3.7,5.5,1406.02,1378.11
P1,10/12/00,Farense,Campomaiorense,1,3,A,1,2,A,1.65,3.35,4.4,1.65,3.1,4.0,1.67,3.25,4.5,1.65,3.25,4.5,1433.39,1370.01
P1,11/12/00,Porto,Beira Mar,2,0,H,2,0,H,1.2,5.0,10.0,1.15,5.5,11.0,1.17,5.0,11.0,1.2,5.0,9.5,1686.87,1396.31
P1,15/12/00,Campomaiorense,Guimaraes,0,1,A,0,1,A,2.1,2.8,3.4,2.1,2.8,3.0,2.1,3.0,3.2,2.1,3.15,2.9,1387.99,1396.66
P1,16/12/00,Belenenses,Alverca,1,0,H,0,0,D,1.5,3.4,6.0,1.4,3.6,5.5,1.53,3.4,5.5,1.55,3.3,5.2,1455.96,1394.71
P1,16/12/00,Leiria,Porto,3,1,H,2,0,H,4.2,3.3,1.7,4.5,3.3,1.55,4.33,3.2,1.73,3.9,3.2,1.75,1457.35,1689.26
P1,17/12/00,Boavista,Salgueiros,5,0,H,2,0,H,1.5,3.2,6.0,1.4,3.6,5.5,1.44,3.75,6.0,1.45,3.5,6.0,1579.48,1414.12
P1,17/12/00,Est Amadora,Aves,0,0,D,0,0,D,1.9,3.1,3.6,1.85,2.9,3.4,1.8,3.1,4.0,1.75,3.15,4.0,1370.01,1350.98
P1,17/12/00,Maritimo,Farense,1,1,D,1,0,H,1.75,3.2,4.0,1.6,3.2,4.2,1.67,3.25,4.5,1.6,3.3,4.5,1481.23,1415.41
P1,17/12/00,Pacos Ferreira,Sp Lisbon,0,0,D,0,0,D,3.4,2.8,2.1,3.6,3.1,1.75,3.2,3.2,2.0,3.5,3.2,1.9,1441.93,1648.52
P1,17/12/00,Benfica,Gil Vicente,0,0,D,0,0,D,1.15,5.8,12.0,1.15,5.5,11.0,1.17,5.75,10.0,1.15,6.0,10.0,1588.2,1387.95
P1,17/12/00,Sp Braga,Beira Mar,3,3,D,2,0,H,1.5,3.4,6.0,1.45,3.5,5.0,1.5,3.4,6.0,1.4,3.75,6.3,1510.09,1393.92
P1,06/01/01,Alverca,Pacos Ferreira,2,0,H,0,0,D,2.25,3.0,2.85,2.2,2.9,2.7,2.2,3.0,2.9,2.15,3.0,2.95,1387.63,1445.65
P1,06/01/01,Porto,Est Amadora,2,1,H,0,1,A,1.1,5.5,15.0,1.1,7.0,14.0,1.13,5.5,15.0,1.12,6.0,13.0,1672.23,1365.89
P1,06/01/01,Sp Lisbon,Campomaiorense,2,1,H,2,0,H,1.2,4.8,11.0,1.2,4.7,9.0,1.2,5.0,10.0,1.15,6.0,10.0,1644.8,1372.28
P1,07/01/01,Aves,Boavista,1,2,A,1,1,D,4.0,3.0,1.85,3.5,3.0,1.8,4.0,3.2,1.75,4.0,3.0,1.8,1355.1,1583.94
P1,07/01/01,Beira Mar,Leiria,3,1,H,2,0,H,2.15,2.9,3.0,2.0,2.9,3.0,2.1,3.0,3.1,1.95,3.1,3.3,1400.83,1474.38
P1,07/01/01,Gil Vicente,Belenenses,2,1,H,1,1,D,2.85,3.0,2.25,2.9,2.9,2.1,3.3,3.0,2.0,2.9,3.0,2.2,1396.68,1463.04
P1,07/01/01,Salgueiros,Benfica,1,2,A,0,0,D,2.3,3.1,2.6,2.35,3.0,2.35,2.5,3.0,2.5,2.6,2.9,2.45,1409.66,1579.47
P1,07/01/01,Sp Braga,Farense,3,0,H,1,0,H,1.6,3.3,4.7,1.6,3.2,4.2,1.53,3.4,5.25,1.55,3.4,5.0,1503.18,1420.96
P1,08/01/01,Guimaraes,Maritimo,1,1,D,1,1,D,1.95,2.9,3.5,1.9,2.9,3.2,2.0,3.0,3.3,2.0,2.9,3.4,1412.37,1475.68
P1,11/01/01,Belenenses,Salgueiros,2,0,H,0,0,D,1.6,3.3,4.5,1.6,3.2,4.2,1.62,3.3,4.75,1.7,3.3,4.0,1451.75,1399.64
P1,12/01/01,Maritimo,Sp Lisbon,0,2,A,0,0,D,2.8,3.0,2.2,3.6,3.1,1.75,2.88,3.1,2.15,2.75,3.2,2.25,1477.0,1647.42
P1,13/01/01,Boavista,Porto,1,0,H,1,0,H,2.45,2.9,2.55,2.4,2.9,2.4,2.4,2.88,2.7,2.5,2.9,2.62,1592.01,1674.43
