Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,EloHome,EloAway
E2,12/09/00,Millwall,Northampton,0,1,A,0,0,D,7064.0,Steve Tomlin,18,9,7,3,0,0,10,3,15,16,2,3,1,1,0,0,10,10,1.6,3.3,4.5,1.55,3.3,4.5,1.6,3.6,4.5,1.57,3.6,5.0,1.53,3.75,5.0,1445.51,1361.09
E2,12/09/00,Notts County,Swansea,0,1,A,0,1,A,3395.0,Scott Mathieson,13,6,1,1,0,0,11,5,7,8,2,2,1,1,0,0,10,10,1.85,3.1,3.3,1.8,3.1,3.3,1.8,3.4,3.75,1.75,3.4,4.0,1.8,3.4,3.75,1345.81,1352.54
E2,12/09/00,Reading,Oldham,5,0,H,3,0,H,7768.0,David Crick,21,13,13,6,0,0,8,1,17,10,4,4,0,0,0,0,0,0,1.6,3.4,5.0,1.55,3.3,4.5,1.45,3.75,6.5,1.5,3.5,6.0,1.57,3.4,5.5,1401.5,1305.01
E2,12/09/00,Wigan,Peterboro,1,0,H,0,0,D,4798.0,Steve Lodge,14,8,6,0,0,0,6,4,8,7,6,2,1,1,0,0,10,10,1.55,3.2,5.5,1.5,3.4,4.7,1.45,3.75,6.5,1.5,3.5,6.0,1.53,3.75,5.0,1458.53,1326.45
E2,12/09/00,Wrexham,Rotherham,1,3,A,0,1,A,2126.0,Phil Richards,7,8,3,5,0,0,7,4,5,13,6,2,1,5,0,0,10,50,1.85,3.25,3.6,1.75,3.1,3.5,1.8,3.4,3.75,1.91,3.25,3.5,1.8,3.4,3.75,1370.51,1338.14
E2,12/09/00,Wycombe,Bristol Rvs,0,1,A,0,1,A,4718.0,Chris Foy,10,5,5,4,0,0,5,4,12,9,7,3,5,2,1,0,75,20,,,,2.1,3.0,2.8,2.1,3.25,3.0,2.1,3.25,3.0,2.1,3.25,3.0,1385.11,1402.39
E2,13/09/00,Stoke,Oxford,4,0,H,3,0,H,9600.0,Clive Wilkes,29,9,16,4,1,0,6,4,4,9,6,7,0,3,0,0,0,30,1.35,3.7,6.3,1.4,3.6,5.5,1.4,4.0,6.5,1.44,3.6,7.0,1.44,3.75,6.5,1446.88,1225.63
E2,16/09/00,Brentford,Millwall,1,1,D,0,0,D,5459.0,David Crick,9,10,4,5,0,0,6,5,21,21,5,4,1,2,0,0,10,20,2.8,3.3,2.1,2.6,3.0,2.2,2.85,3.25,2.2,2.8,3.25,2.2,2.75,3.4,2.2,1272.32,1426.94
E2,16/09/00,Bristol Rvs,Wigan,0,0,D,0,0,D,8109.0,Andrew Butler,11,9,4,3,0,0,9,4,16,11,0,5,0,1,0,0,0,10,2.3,3.15,2.6,2.2,3.0,2.6,2.5,3.2,2.5,2.5,3.2,2.5,2.37,3.2,2.62,1417.81,1463.73
E2,16/09/00,Colchester,Wrexham,1,1,D,0,1,A,3724.0,Phil Joslin,18,14,11,9,0,0,9,4,17,9,1,0,1,0,0,1,10,25,2.0,3.2,3.25,1.9,3.0,3.1,2.1,3.25,3.0,1.91,3.25,3.5,2.0,3.25,3.25,1308.02,1353.47
E2,16/09/00,Northampton,Notts County,1,0,H,0,0,D,5703.0,Paul Danson,12,9,6,3,0,1,3,3,20,19,3,0,0,2,0,1,0,45,2.1,3.25,2.75,2.1,3.0,2.8,2.25,3.4,2.6,2.2,3.25,2.8,2.2,3.25,2.8,1379.66,1330.03
E2,16/09/00,Oldham,Bristol City,0,0,D,0,0,D,4095.0,David Laws,18,11,8,4,0,2,9,11,17,14,1,3,0,0,0,0,0,0,2.25,3.2,2.6,2.2,2.9,2.7,2.25,3.25,2.75,2.3,3.2,2.7,2.37,3.2,2.62,1298.91,1336.66
E2,16/09/00,Oxford,Bury,1,0,H,0,0,D,3676.0,Keith Hill,10,9,5,4,0,0,7,6,14,19,4,12,1,2,0,0,10,20,2.6,3.3,2.15,2.8,3.1,2.0,2.75,3.25,2.25,2.8,3.3,2.2,2.62,3.4,2.25,1222.23,1372.45
E2,16/09/00,Peterboro,Reading,1,0,H,0,0,D,5767.0,Clive Wilkes,10,7,5,4,0,0,5,10,14,11,5,8,1,2,0,1,10,45,2.8,3.3,2.15,2.5,2.9,2.3,2.6,3.2,2.35,2.8,3.25,2.2,2.75,3.25,2.25,1321.25,1407.6
E2,16/09/00,Rotherham,Wycombe,1,0,H,0,0,D,12763.0,Graham Frankland ,6,4,3,1,0,1,5,0,6,8,2,2,0,0,0,0,0,0,2.2,3.4,2.7,2.2,2.9,2.7,2.75,3.25,2.25,2.25,3.25,2.75,2.25,3.25,2.75,1355.18,1369.69
E2,16/09/00,Swansea,Luton,4,0,H,2,0,H,6011.0,David Pugh,15,8,8,4,1,0,4,4,12,9,6,2,0,3,0,1,0,55,1.9,3.3,3.4,1.8,3.1,3.3,1.9,3.25,3.5,1.91,3.25,3.5,1.83,3.4,3.6,1368.32,1314.6
E2,16/09/00,Walsall,Bournemouth,1,1,D,1,0,H,5054.0,Phil Richards,7,10,4,4,0,1,6,8,10,8,6,2,0,1,0,0,0,10,1.4,3.8,6.0,1.4,3.6,5.5,1.45,3.6,6.5,1.44,3.75,6.5,1.4,4.0,6.5,1416.41,1314.01
E2,17/09/00,Port Vale,Stoke,1,1,D,1,1,D,8948.0,Bill Burns,11,18,6,8,0,2,4,6,12,17,5,3,2,3,0,0,20,30,2.8,3.15,2.25,2.35,3.0,2.35,2.75,3.25,2.2,2.75,3.25,2.25,2.75,3.2,2.3,1279.82,1450.28
E2,23/09/00,Bournemouth,Oldham,1,1,D,0,1,A,3976.0,David Ellaray,13,3,4,1,0,0,6,6,9,10,3,4,0,0,0,0,0,0,1.8,3.2,4.0,1.85,3.0,3.3,1.8,3.5,3.6,1.8,3.4,3.75,1.83,3.4,3.6,1320.57,1296.69
E2,23/09/00,Bristol City,Colchester,1,1,D,1,1,D,7411.0,Mark Warren,11,5,6,2,0,0,7,5,10,7,1,5,0,1,0,0,0,10,2.0,3.2,3.0,1.9,3.0,3.1,2.0,3.25,3.25,1.91,3.4,3.4,1.83,3.3,3.75,1338.88,1306.07
E2,23/09/00,Bury,Port Vale,2,0,H,1,0,H,3176.0,Mark Cowburn,11,9,6,1,0,0,10,6,17,8,1,5,0,1,0,0,0,10,1.8,3.25,3.7,1.8,3.0,3.5,1.8,3.4,3.75,1.8,3.25,4.0,1.8,3.4,3.75,1358.16,1282.32
