Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,EloHome,EloAway
E0,03/01/00,Tottenham,Liverpool,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1692.79,1753.5
E0,03/01/00,Wimbledon,Sunderland,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1617.87,1815.41
E0,04/01/00,Coventry,Chelsea,2.0,2.0,D,0.0,0.0,D,,,,,,,,,,,,,1656.47,1778.41
E0,08/01/00,Bradford,Chelsea,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,,,1618.6,1777.62
E0,12/01/00,Chelsea,Tottenham,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1775.52,1703.88
E0,15/01/00,Arsenal,Sunderland,4.0,1.0,H,3.0,0.0,H,,,,,,,,,,,,,1840.08,1799.49
E0,15/01/00,Chelsea,Leicester,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,,,1782.3,1667.15
E0,15/01/00,Coventry,Wimbledon,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,1657.26,1633.79
E0,15/01/00,Everton,Tottenham,2.0,2.0,D,1.0,2.0,A,,,,,,,,,,,,,1671.63,1697.1
E0,15/01/00,Middlesbrough,Derby,1.0,4.0,A,0.0,1.0,A,,,,,,,,,,,,,1677.16,1621.96
